CORE;CPU;DRAM;DURATION;UNCORE;EXIT_CODE;INPUT
1143064;1524837;205321;180337;732;0;2
2260736;2833977;331970;295564;306;0;4
3339408;4169911;481078;434541;244;0;6
4861132;6073776;697386;633431;366;0;8
6357588;7910685;898313;820404;672;0;10
7044538;8788185;1011228;925525;305;0;12
8374734;10423618;1178891;1085634;549;0;14
9429419;11750885;1333370;1226702;610;0;16
11140170;13879359;1574581;1451439;733;0;18
13438686;16736468;1897517;1740501;1220;0;20
15314108;19084668;2154658;1998952;1099;0;22
15292929;19070935;2160150;1996991;1465;0;24
16499043;20542733;2310847;2147031;916;0;26
18577223;23148866;2611749;2422300;1159;0;28
19558605;24347838;2737908;2542811;1038;0;30
20829598;25952326;2924126;2717594;1282;0;32
21479742;26768914;3008903;2797313;1220;0;34
24627561;30675276;3460013;3214378;1282;0;36
25413326;31664165;3555472;3316285;1465;0;38
26372308;32843300;3694327;3436710;1709;0;40
30232100;37672878;4224781;3950005;1465;0;42
28688342;35712128;4011282;3735687;1831;0;44
31876933;39693257;4473621;4166886;1404;0;46
32844276;40893084;4579334;4282033;1099;0;48
38385766;47812682;5366197;5008479;1953;0;50
34190403;42546400;4766162;4445362;1770;0;52
38922386;48466490;5433091;5067153;1892;0;54
37123623;46227054;5206957;4851928;1647;0;56
38345239;47736328;5352220;4995007;1770;0;58
40288471;50151544;5640976;5255336;1892;0;60
42430067;52853258;5957687;5547681;1831;0;62
47267763;58781405;6550825;6117680;2075;0;64
46836183;58336276;6568465;6121912;2075;0;66
118293825;147319508;16527790;15638558;1526;0;68
64769610;80728614;9104347;8544122;2686;0;70
49695430;61879175;6970136;6498251;2564;0;72
50777824;63223288;7127911;6658956;2441;0;74
51074027;63535665;7124310;6645295;2564;0;76
55203045;68777900;7727336;7231546;2441;0;78
70221622;87415914;9836828;9206799;2869;0;80
55103985;68576729;7703167;7214057;2075;0;82
73684748;91726511;10316685;9672770;3113;0;84
67961190;84683316;9599707;8975686;2869;0;86
65938857;82111545;9254066;8641208;3174;0;88
60971950;75952077;8548379;7982218;2624;0;90
66146742;82428256;9317908;8715314;2442;0;92
67289318;83770965;9395422;8807377;2258;0;94
70945375;88308978;9925206;9268371;2869;0;96
66629102;82935029;9327979;8709985;2502;0;98
64650775;80502968;9053688;8449158;2747;0;100
70349917;87578389;9862645;9198712;3296;0;102
73003109;90933178;10218846;9549255;3357;0;104
74864738;93254461;10515232;9857451;2014;0;106
72637998;90421033;10146092;9497455;2930;0;108
77563644;96578122;10870211;10155274;3174;0;110
79012005;98660331;11160860;10453378;3418;0;112
77143967;96022765;10780918;10087773;3723;0;114
82825105;103108073;11598237;10834038;3174;0;116
83423065;104099465;11779511;11012206;4028;0;118
97400324;122229668;13936793;13155719;4151;0;120
86310998;107420380;12062958;11274749;3357;0;122
82650057;102965435;11629487;10854430;3723;0;124
86778281;108162931;12220855;11467601;1831;0;126
91042003;113326431;12736845;11896499;4029;0;128
90952526;113220291;12728849;11893708;3967;0;130
92511665;115127391;12921415;12068691;4089;0;132
92054086;114664990;12958279;12090901;3907;0;134
98865226;123146047;13880946;13027360;1647;0;136
102340985;127577737;14401696;13465660;4577;0;138
96009459;119565428;13453213;12584779;3846;0;140
100656359;125359603;14129542;13219473;4089;0;142
98580863;122754812;13828944;12940676;3967;0;144
99884815;124302538;13979639;13055862;3784;0;146
104712500;130717988;14836205;13901962;4272;0;148
109021083;135620197;15159873;14205857;4273;0;150
107174714;133458215;15002769;14066648;3418;0;152
111093404;138235853;15512716;14498280;4639;0;154
112660173;140302802;15831625;14791723;4700;0;156
115457712;144221005;16421406;15386458;4638;0;158
113526992;141433171;15917501;14964672;2686;0;160
126627239;157558740;17720231;16554234;5066;0;162
126272870;157142054;17638138;16518972;4822;0;164
133958824;166819153;18840406;17620783;5371;0;166
131458038;163642648;18389846;17231875;5798;0;168
131411956;163589608;18417982;17243915;5005;0;170
139738900;173846784;19515697;18272438;4822;0;172
144972041;180431057;20275217;18998515;5921;0;174
314655627;391691014;44237436;41496596;8240;0;176
33509497;41820632;4761462;4421332;2441;0;178
151857094;189075566;21352057;19953571;6104;0;180
161032547;200507238;22586673;21157336;6103;0;182
157136561;195694689;22064031;20743904;2198;0;184
165542362;206110434;23253907;21766227;6653;0;186
115337413;143515197;16113546;15042474;4883;0;188
195846423;243781297;27417776;25750856;4639;0;190
194762929;242303151;27205314;25459539;7263;0;192
182018271;226538727;25516598;23872048;7080;0;194
138472362;172494065;19410961;18317058;1587;0;196
184047564;229231163;25893427;24246929;6775;0;198
113376113;141416996;15993123;14953201;4821;0;200
156286221;194622121;21929876;20578742;4394;0;202
207918413;258698495;29078966;27229721;7813;0;204
114158765;142268862;16117635;15069048;4700;0;206
136073748;169534173;19139172;17971130;3296;0;208
259116524;323010037;36488065;34222062;8972;0;210
123637501;154485262;17593583;16493304;4700;0;212
131419036;163491403;18377516;17140785;5981;0;214
253668418;316598494;35961273;33723892;9522;0;216
91701913;114245923;12923184;12056281;4150;0;218
135038960;168018613;18860364;17635662;5249;0;220
102035139;127209819;14423791;13476301;4334;0;222
150392376;187475167;21223944;19934276;3052;0;224
80444313;100268725;11393892;10624580;3723;0;226
160212664;199558510;22608768;21146225;6653;0;228
97537165;121507380;13700404;12815093;3602;0;230
93174749;116098213;13142484;12304124;2624;0;232
81218054;101216415;11473726;10703373;3173;0;234
81527379;101548873;11485689;10708705;4578;0;236
63909077;79701700;9048011;8424879;3113;0;238
287860469;358411985;40432025;37950175;6287;0;240
64056416;79816080;9038490;8414930;3540;0;242
128314064;159679951;17969681;16806045;5920;0;244
100933213;125790693;14231164;13318989;4700;0;246
313603994;392456454;44678353;42209323;4394;0;248
102737408;127964028;14467919;13513489;4456;0;250
121631586;151518960;17137713;16034302;6042;0;252
333587892;421888568;49380123;46711540;6835;137;254
115181529;146147209;17296769;16197640;4944;0;256
38465233;47511414;5217699;4797077;2625;0;258
337774038;425985787;49435970;46609803;8667;137;260
91930734;115895150;13559963;12630862;3845;0;262
101074875;125826338;14237024;13253984;4029;0;264
88414508;109978478;12387603;11511886;3906;0;266
46891665;58453586;6669172;6172501;2625;0;268
97920709;121885674;13768764;12873385;3235;0;270
43128064;53786422;6146529;5692209;2563;0;272
63630636;79271220;9005043;8359573;2991;0;274
95853026;119319824;13481655;12551887;4639;0;276
50552605;62806480;7070356;6528531;2930;0;278
80694313;100751268;11540437;10761391;3967;0;280
65379960;81487218;9239051;8608818;2808;0;282
74845145;93326787;10578647;9850424;3296;0;284
86886680;108222257;12274993;11423200;4395;0;286
83685699;104233620;11811066;10988976;4577;0;288
69963017;87333028;10010350;9321605;3601;0;290
36419157;45419683;5193407;4787173;2625;0;292
52121876;64956926;7388714;6860954;2258;0;294
56474404;70369571;7988810;7408416;2930;0;296
96225584;119856382;13571132;12648127;4272;0;298
100540209;126119856;14464257;13564992;4517;0;300
35592621;44364327;5068835;4669507;2319;0;302
42558912;52986803;6010971;5556064;2503;0;304
89671645;111753803;12680998;11854556;3235;0;306
78436384;97773431;11125398;10354693;3784;0;308
32926856;41094682;4740345;4369427;1953;0;310
338598438;426841253;49507869;46672563;10376;137;312
311233456;389546488;44792243;41904770;11780;0;314
336024043;423268692;49181332;46535672;3906;137;316
200093787;251169157;29042833;27207252;7569;0;318
278188375;346429167;39291525;36859709;7507;0;320
227662503;283261604;32032083;29947001;8240;0;322
