CORE;CPU;DRAM;DURATION;UNCORE;EXIT_CODE;INPUT
1117123;1495907;204528;178198;794;0;2
2223261;2797051;329223;292052;305;0;4
3312980;4151417;479552;435168;305;0;6
4884325;6101058;711240;641392;489;0;8
6331038;7902873;902586;823567;732;0;10
6997785;8751687;1007505;921781;550;0;12
8406228;10490024;1195737;1097449;854;0;14
9323036;11620515;1325741;1218202;794;0;16
11034396;13761928;1576840;1448852;1221;0;18
13189786;16421589;1871150;1711475;1099;0;20
15144370;18858350;2131159;1971741;1037;0;22
15266135;19009107;2157038;1986864;1282;0;24
16457478;20510446;2323541;2148711;1221;0;26
18218216;22708072;2572137;2388085;1220;0;28
18968518;23606690;2676812;2469952;1159;0;30
20768135;25862361;2913322;2707944;1160;0;32
21295783;26541070;2996697;2779115;1404;0;34
24457579;30442610;3437186;3192523;1465;0;36
25132077;31308941;3541800;3294323;1709;0;38
26380731;32875404;3713431;3452076;1221;0;40
29575913;36829435;4148549;3866314;1587;0;42
28521167;35536042;4011037;3733991;1770;0;44
31750712;39540243;4463611;4148576;1892;0;46
32755898;40793047;4600452;4286774;1587;0;48
37457607;46633975;5248644;4894463;2197;0;50
34172520;42556959;4799853;4466756;1892;0;52
39026573;48584043;5459398;5082012;2564;0;54
37418239;46630251;5264329;4899262;2380;0;56
38431359;47857788;5381578;5016617;2075;0;58
40272053;50146722;5673569;5271464;2258;0;60
41654434;51853689;5844406;5440588;2502;0;62
46360782;57724096;6517439;6069110;2075;0;64
45799748;57040320;6422408;5988725;1709;0;66
117692692;146685781;16550617;15643967;1831;0;68
62358361;77710800;8811012;8241744;3235;0;70
49466793;61600123;6944929;6486213;2442;0;72
49067135;61089992;6898603;6423275;2624;0;74
50577751;62943503;7101605;6606950;2625;0;76
53959518;67199351;7582927;7080177;2747;0;78
70269535;87456014;9860754;9202855;2929;0;80
54715436;68131234;7695598;7205844;2259;0;82
73192806;91164501;10302342;9655345;3479;0;84
67309032;83785675;9457068;8818903;2869;0;86
67124218;83625640;9472694;8849124;3418;0;88
60395109;75177786;8479593;7893627;2746;0;90
65529008;81546483;9170753;8554725;3540;0;92
67786814;84432706;9475440;8874635;2380;0;94
70688174;87998981;9920873;9257484;3113;0;96
66406568;82727693;9331275;8717224;3113;0;98
64784868;80735145;9140968;8521341;2930;0;100
70838381;88240069;9972387;9296382;3296;0;102
71810485;89421951;10113988;9411402;3723;0;104
74639702;92943304;10500705;9823430;2686;0;106
72327695;90037917;10139257;9460786;3724;0;108
77514328;96494993;10884494;10147806;3357;0;110
76150684;94822206;10696445;9989494;3296;0;112
78123702;97530207;11052828;10339048;4272;0;114
82767367;103004314;11580475;10814205;4090;0;116
82820101;103287455;11698700;10916295;4028;0;118
85799646;106823823;12039031;11244360;3907;0;120
85863977;106925203;12077850;11264807;3479;0;122
86307641;107785735;12266692;11504949;3845;0;124
86447654;107684783;12152984;11390049;2686;0;126
90471997;112682146;12706754;11862251;3845;0;128
89999892;112085467;12675871;11824718;3784;0;130
90961376;113361343;12817899;11976334;4761;0;132
92484931;115247447;13009915;12167387;4151;0;134
98272637;122386894;13794459;12964280;2319;0;136
100203845;124777390;14092982;13158188;4517;0;138
96743771;120605526;13633388;12744055;4700;0;140
102729657;128168923;14495996;13573362;4638;0;142
98492668;122729545;13863734;12967691;4394;0;144
98904959;123163503;13909083;12985165;4334;0;146
101993269;126970500;14316308;13370609;4822;0;148
107873747;134325523;15171287;14154643;4699;0;150
106965364;133280542;15085166;14102505;4089;0;152
112527178;140379829;15945150;14921844;4700;0;154
112348651;139961800;15827230;14790762;5371;0;156
112415667;139866219;15712423;14683866;5310;0;158
111967181;139487619;15761068;14777916;2808;0;160
125927167;156745754;17713761;16525220;6226;0;162
125830977;156749172;17729691;16569744;5371;0;164
135077413;168367794;19059461;17822407;5799;0;166
132833217;165592899;18768446;17568806;6469;0;168
132153165;164769170;18676344;17458540;5615;0;170
139094065;173269332;19592297;18336225;5249;0;172
144951533;180475917;20403024;19062437;6104;0;174
309424989;388853863;45563360;42667321;9399;0;176
33348242;42285231;5025072;4669610;4639;0;178
152932042;190530763;21615423;20185117;6714;0;180
173545881;217521721;24869748;23389356;7385;0;182
158649069;198258282;22572452;21291619;1709;0;184
165972476;206591085;23287233;21776161;7081;0;186
114575451;142660401;16109822;15021680;5005;0;188
197634137;246904397;28160207;26463899;5127;0;190
190075746;238211976;27594961;25804893;7934;0;192
178245027;223590065;25956476;24295396;6836;0;194
134841329;169456292;19767284;18607429;1587;0;196
184152361;229471886;26052667;24413690;7751;0;198
103652261;132453640;16387592;15331466;5860;0;200
150924297;190922546;22813479;21437612;3906;0;202
200995640;253466453;29969039;28109215;8728;0;204
109162440;137640883;16271076;15227023;5005;0;206
133081385;167521482;19714183;18500583;3174;0;208
241410393;307392340;37551418;35247154;10681;0;210
115382273;145911126;17432450;16297979;4944;0;212
123190175;156544399;19039746;17814187;5677;0;214
231187030;295444800;36563810;34343056;9643;0;216
89099199;112593096;13426174;12518763;4821;0;218
125261032;159675738;19609569;18364156;6409;0;220
92214607;118890564;15134239;14177629;5127;0;222
149636214;186429454;21076789;19795440;2503;0;224
71562805;93688175;12525175;11727933;4517;0;226
154061800;195043934;23421326;21958269;7080;0;228
94639528;119455871;14180383;13239139;4761;0;230
89789992;113559463;13525234;12729881;2136;0;232
77961410;98742606;11910736;11095294;4028;0;234
75209586;96788327;12274139;11470455;4211;0;236
59962188;76313465;9336952;8699610;3417;0;238
274930387;348423973;41849380;39391621;7386;0;240
61426418;78171736;9576575;8929173;3296;0;242
118082645;151704934;19134229;17932713;6103;0;244
93810551;119985594;14927879;13974330;5860;0;246
285758545;362355456;43604930;41178597;4272;0;248
96140257;122887747;15252342;14258361;4761;0;250
116168343;147961414;18120926;16973213;5859;0;252
314025502;404186648;50354912;47671500;6531;137;254
114199048;144964106;17218645;16077088;5615;0;256
35158724;43847239;5038317;4634874;2503;0;258
393373078;504244193;59454194;56536995;9155;137;260
92729194;118602602;14335779;13416068;4090;0;262
101288315;126269147;14347559;13380355;4211;0;264
87258871;108745999;12368377;11508268;4822;0;266
49378963;61191616;6811933;6289242;2503;0;268
94223696;117404546;13328518;12453800;3479;0;270
42713757;53238084;6080673;5623578;2686;0;272
63594502;79224345;9011391;8360796;3113;0;274
96498166;120309446;13673671;12788742;4272;0;276
49571467;61765650;7030072;6507419;2747;0;278
80018655;99769520;11381807;10611705;4028;0;280
66259047;82806612;9463843;8836395;3357;0;282
73186580;91191051;10351047;9632079;3846;0;284
86775839;108122343;12275359;11444368;4211;0;286
83822601;104512916;11900055;11091257;3662;0;288
65965041;83674530;10122227;9426061;4029;0;290
36290556;45255560;5187243;4779874;2563;0;292
52501575;65489456;7451641;6946178;2136;0;294
56269265;70111027;7976481;7389974;3540;0;296
92451179;116687567;13881983;12950160;4700;0;298
92875190;115669442;13122525;12217963;4883;0;300
35605682;44373665;5060717;4672297;2258;0;302
42226088;52648791;6011521;5559343;2380;0;304
88925370;110878379;12617094;11797144;3601;0;306
75189444;95181763;11450166;10673527;4455;0;308
32679604;40816058;4726672;4360158;2807;0;310
324500268;413443400;50009332;47219400;11109;137;312
309083803;388402632;45178473;42327267;11535;0;314
328751417;419271144;50684074;48147499;4212;137;316
200771580;253087792;29680527;27842545;8361;0;318
275902920;343798070;39143821;36701045;8056;0;320
219306751;277437888;33254859;31173672;11109;0;322
338136036;436302350;54153304;51477558;7141;137;324
520888010;679032014;80725806;77573629;11597;137;326
323924647;415097571;50931022;48450980;3540;137;328
350580707;449542001;54202742;51427835;12207;137;330
250358490;313696462;35967010;33905051;2930;0;332
325033897;418966518;52386767;49686188;13000;137;334
315329454;395301357;45773503;43158338;1221;0;336
316692793;408140801;51457388;48568493;13000;137;338
328132217;420118127;51104972;48527409;733;137;340
342477944;439649936;53733200;50841558;12756;137;342
332639590;423469314;50687249;48120370;1953;137;344
332674990;427739567;52792223;49937450;12878;137;346
326241596;416569429;50479363;47996500;2625;137;348
333675659;430250059;53546005;50619626;13061;137;350
353287853;453637206;55308025;52733628;1587;137;352
324424706;420668967;53248399;50377628;12940;137;354
325593466;417532805;51362051;48728168;1953;137;356
324631432;415933200;51186576;48265500;13855;137;358
342551736;441477263;54253096;51617352;1709;137;360
330692574;428528566;54076461;51052972;12390;137;362
319079689;411293564;51425100;48860856;1953;137;364
349664877;456520133;57863987;54874168;12146;137;366
93418339;118309878;13994471;13121338;3662;0;368
28822375;36004364;4185780;3837967;2319;0;370
66044875;82817537;9652685;8948073;3357;0;372
60255217;76594470;9290381;8689999;3785;0;374
38952415;49419856;6021469;5567420;2807;0;376
50692253;63944356;7622844;7052753;2807;0;378
40358417;52202808;6760481;6269995;2625;0;380
35471467;46960573;6529524;6061127;2442;0;382
36516691;47003054;6002059;5566232;1953;0;384
50389458;63827352;7704203;7141542;3235;0;386
51248893;65922438;8399820;7815120;2991;0;388
30618757;39761861;5235033;4845116;2503;0;390
37631496;46966005;5402452;4974182;2441;0;392
43889902;56253640;7081708;6561043;3052;0;394
39551596;50869438;6493208;6016651;2930;0;396
40148823;51621022;6577559;6082433;2930;0;398
50874138;66505934;8913307;8307038;3113;0;400
75278310;96670224;12223357;11406527;3967;0;402
35785003;46263920;5997177;5544378;2564;0;404
61809839;78610455;9614660;8952347;3784;0;406
