CORE;CPU;DRAM;DURATION;UNCORE;EXIT_CODE;INPUT
1115598;1531429;215393;191593;794;0;2
2231989;2781426;324218;287138;305;0;4
3333854;4166921;479247;432827;244;0;6
4866808;6067733;696410;632373;367;0;8
6350631;7920024;895749;817842;671;0;10
7087750;8838601;1009153;926985;367;0;12
8360574;10407444;1176755;1078828;610;0;14
9424842;11746003;1335751;1225812;549;0;16
11185457;13937464;1584408;1456314;1037;0;18
13245694;16494343;1862605;1718740;977;0;20
15154014;18862623;2125422;1964837;1099;0;22
15556967;19394726;2191645;2027747;1159;0;24
16472676;20500619;2312433;2140567;916;0;26
18483046;23016970;2593804;2401465;1343;0;28
19074292;23729309;2664727;2468894;976;0;30
21219489;26426995;2973930;2761495;1221;0;32
21109198;26284051;2960076;2746579;1221;0;34
24577025;30574751;3431327;3185699;1282;0;36
25293087;31477825;3536246;3278447;1281;0;38
26292902;32713661;3677908;3416374;1465;0;40
29771286;37082791;4168630;3876619;1282;0;42
29280138;36485624;4109120;3826360;1160;0;44
31964945;39776510;4469593;4151984;1404;0;46
32902870;40951983;4595325;4285240;1159;0;48
37627223;46793948;5246263;4880123;1648;0;50
34019200;42357375;4767322;4435318;1587;0;52
38781212;48281859;5431322;5053214;1770;0;54
37312099;46414493;5202257;4842290;1586;0;56
38339074;47703125;5363634;4991781;1709;0;58
40840471;50759818;5690049;5293877;2015;0;60
43404186;54103926;6088974;5683246;1892;0;62
47093507;58530123;6529646;6075107;2075;0;64
47443604;59059358;6616865;6166402;2380;0;66
118441409;147343373;16494037;15547657;1525;0;68
62122888;77239732;8659035;8081282;2686;0;70
50019587;62265954;7023297;6546115;2136;0;72
49085323;61065518;6875226;6397025;1587;0;74
50953056;63432577;7141523;6652001;2320;0;76
53943099;67110668;7535137;7022730;2624;0;78
70621645;87901814;9908177;9261039;2930;0;80
54950421;68353768;7690471;7181275;1953;0;82
73416193;91345591;10283848;9617536;2808;0;84
68417854;85169399;9609778;8982366;3052;0;86
65929213;82040439;9229408;8605394;2990;0;88
60759671;75652394;8516336;7939552;2503;0;90
65219377;81130896;9099952;8478145;2563;0;92
66689160;83010896;9346106;8719077;2625;0;94
70959719;88290729;9916906;9239728;2869;0;96
66155714;82332919;9271644;8632367;2624;0;98
64556475;80362465;9046608;8428916;2747;0;100
71043763;88452959;9979894;9310856;2747;0;102
72305357;89997023;10146397;9451123;2929;0;104
78796735;98760734;11274812;10615244;2076;0;106
72157896;89781936;10111607;9414527;3235;0;108
78049544;97106380;10902254;10162150;2929;0;110
77451279;96301206;10755039;10021790;2625;0;112
76312183;94941956;10673801;9938697;2930;0;114
82956513;103282023;11637178;10853983;3418;0;116
83449615;103991860;11739167;10968928;3296;0;118
85865991;106839753;12032806;11210726;2990;0;120
85872583;106855317;12022552;11211215;2807;0;122
82562838;102752300;11562531;10774676;3418;0;124
86229027;107385101;12111602;11332828;2259;0;126
91561533;114100783;12889250;12037455;3418;0;128
91194713;113536025;12798307;11923685;2930;0;130
91046520;113356705;12763151;11911281;3601;0;132
92119393;114614087;12891446;12018452;3601;0;134
98220940;122247795;13747096;12919440;1526;0;136
101229538;126057417;14223291;13269619;4089;0;138
