CORE;CPU;DRAM;DURATION;UNCORE;EXIT_CODE;INPUT
524718;867308;162841;146212;1221;0;2
961241;1341794;196167;169618;488;0;4
1419430;1956233;280883;245568;1098;0;6
1954401;2614679;346679;311384;427;0;8
2984123;3683462;369811;327990;1343;0;10
3535574;4366322;433959;389351;1099;0;12
4116506;5076037;493835;448671;732;0;14
4716602;5816636;570861;516219;1159;0;16
4046681;5506700;742124;684119;1038;0;18
4348866;5992050;833250;767584;915;0;20
5427842;7084882;851377;780368;1098;0;22
6876142;8472269;835081;755345;1770;0;24
7521954;9269324;893796;818611;1099;0;26
6028061;8268228;1141111;1052882;1648;0;28
6962995;9315100;1189267;1099880;1526;0;30
9207191;11345491;1095700;1003505;1221;0;32
8958291;11371675;1232114;1133736;1464;0;34
7706828;10576389;1446713;1345323;1221;0;36
10737826;13329556;1333065;1223404;1587;0;38
10672580;13523830;1450924;1339389;1709;0;40
9206764;12538603;1684932;1564515;2136;0;42
12593108;15496604;1489315;1370872;1892;0;44
10914157;14391931;1762629;1632389;2259;0;46
10463902;14331751;1943110;1813511;2075;0;48
12614713;16268574;1860591;1723010;1892;0;50
13837916;17464432;1848750;1707694;2868;0;52
12917447;17019915;2077021;1931328;2258;0;54
15255332;19081067;1948603;1798269;2076;0;56
12359526;16956804;2322260;2159153;2564;0;58
14591760;19058118;2272638;2106289;2625;0;60
16081685;20451608;2223932;2060533;2685;0;62
16125813;20729928;2346490;2173573;2441;0;64
16245137;21115059;2468195;2291284;2747;0;66
18482984;23178286;2399897;2220012;2380;0;68
16276203;21635687;2702996;2524370;2259;0;70
19459178;24454832;2537041;2350467;2746;0;72
18722852;24086792;2723381;2529995;2197;0;74
17846573;23507753;2861382;2672406;2319;0;76
21297248;26578728;2691948;2491263;2502;0;78
17175737;23527650;3195243;2990651;2319;0;80
22104619;27685293;2838189;2628536;2442;0;82
20430856;26538750;3081291;2879383;1343;0;84
20600044;26944022;3208793;2996674;2930;0;86
22862918;28995104;3113029;2893476;2930;0;88
23928222;30193831;3185661;2957112;2197;0;90
22571170;29246691;3380667;3147648;3051;0;92
23156618;30074874;3498588;3267521;2990;0;94
23426027;30370955;3519828;3275915;3662;0;96
25859981;32791237;3510978;3266015;2319;0;98
25913081;32910926;3560660;3306057;3052;0;100
23015749;30989483;4018788;3759174;3724;0;102
25867792;33404822;3822684;3563292;3051;0;104
26937858;34396091;3785574;3523393;2990;0;106
27910817;35644501;3921682;3647652;2990;0;108
27905995;35632965;3923696;3648541;3051;0;110
26027826;34375705;4219472;3940658;3357;0;112
26371026;34861300;4268300;3996556;3174;0;114
29177416;37378444;4154287;3867840;2930;0;116
29925766;38407617;4290150;3996333;2563;0;118
30387617;39055809;4382679;4085708;3051;0;120
30410017;39062095;4381337;4086378;3051;0;122
31127361;40099812;4539478;4233956;3173;0;124
31680156;40806536;4619800;4312108;3418;0;126
32409890;41468522;4589648;4276975;2685;0;128
33083533;42270704;4654896;4341487;3601;0;130
34031041;43425060;4758228;4431343;4394;0;132
34117040;43555796;4789234;4465915;3723;0;134
34790256;44602425;4965258;4629153;4150;0;136
34613376;44761665;5114183;4785649;2869;0;138
34592502;44819282;5165026;4829824;4090;0;140
