CORE;CPU;DRAM;DURATION;UNCORE;EXIT_CODE;INPUT
4520008;5327989;417541;396353;244;0;2
10023717;11677094;858274;820853;1159;0;4
9928136;12371733;1277096;1229128;854;0;6
18008499;21164436;1654598;1591550;1098;0;8
21877813;26053095;2186518;2112451;1587;0;10
25422603;29789963;2304742;2221737;2258;0;12
26013788;31646281;2950737;2861277;1770;0;14
27278311;33828771;3441825;3338463;1953;0;16
39277975;46306522;3699331;3581770;2014;0;18
30183456;37476772;3808340;3706810;2014;0;20
46871462;58085605;5876571;5716452;2502;0;22
50973014;63183127;6380172;6212462;2442;0;24
48823300;60464506;6118393;5950049;2624;0;26
55738383;69072211;6989851;6800470;3418;0;28
56178017;69622502;7041913;6857962;2746;0;30
58160922;72116209;7301495;7112074;3296;0;32
62900413;77907149;7856120;7650666;2991;0;34
70454288;87313009;8825661;8599979;3296;0;36
74492913;92471809;9363318;9133155;3479;0;38
78307599;97083980;9799597;9573973;3785;0;40
83179902;103150615;10449802;10194528;3601;0;42
83206452;103049419;10393162;10131122;3296;0;44
89522354;110961691;11227632;10949128;4394;0;46
89071245;110235191;11104037;10825334;3845;0;48
98063592;121420587;12243682;11941946;4272;0;50
104674720;129833774;13122464;12837990;3235;0;52
164816534;204445582;20614510;20140753;6836;0;54
109447108;135637653;13709133;13380072;4761;0;56
118505983;144298032;13525295;13183684;5493;0;58
116769354;144825557;14636498;14348225;2503;0;60
117836002;145897210;14713280;14356524;4334;0;62
144406552;176515417;16810199;16409976;5310;0;64
131360137;162685313;16446186;16037354;5738;0;66
334341002;413911599;41860916;41176882;2807;0;68
153384312;189909365;19167859;18715432;6836;0;70
146778738;181757286;18373854;17924402;6775;0;72
144172239;178396638;17938187;17521943;4822;0;74
147420582;182546957;18456679;18013722;6104;0;76
157146265;194496572;19572154;19094810;7202;0;78
191828976;237694643;24047729;23560931;4212;0;80
173156417;214315796;21692877;21164326;7080;0;82
211005747;261168399;26439019;25808478;7935;0;84
207051411;256353348;25965266;25511985;2259;0;86
181877953;225094699;22694400;22160665;7385;0;88
179026397;221800519;22397953;21849430;6897;0;90
190574402;236562627;23983398;23559860;3235;0;92
187073007;231715654;23381593;22839340;7935;0;94
202035555;250194367;25286678;24676951;8240;0;96
199019999;247084023;25054441;24634823;1953;0;98
205597313;254816669;25775020;25151280;8178;0;100
205027552;253827476;25600887;25005291;9460;0;102
205597680;255051410;25816828;25396467;1709;0;104
216859735;268677535;27153434;26534184;8606;0;106
211023508;261288821;26365350;25745331;8850;0;108
236721746;293137494;29553818;28885280;9338;0;110
225272434;279173052;28212819;27616948;7752;0;112
231899248;287272458;29004198;28330212;9399;0;114
240160701;297647737;30102462;29451718;7995;0;116
253945639;314796924;31846049;31151031;10620;0;118
241166985;298681547;30158676;29543986;6592;0;120
264727167;328180129;33313391;32389077;12268;0;122
258431711;320719333;32526894;31811231;7080;0;124
251572354;311563655;31450786;30701099;10193;0;126
269107770;333382265;33603673;32945566;6836;0;128
266090322;329444225;33194617;32422020;9460;0;130
272251500;337596792;34112889;33429909;7934;0;132
273192782;338332691;34174534;33380188;11352;0;134
277328330;343795384;34827120;34118702;5798;0;136
285101016;352939648;35529511;34712935;12207;0;138
272077001;336906669;33942174;33267491;6225;0;140
316447859;393012971;39971761;39118636;13122;0;142
293865947;363682174;36425444;35759225;4700;0;144
302682758;374888261;37725367;36873647;12451;0;146
292127609;362134083;36599576;35914961;5799;0;148
320870455;397810016;40199177;39267334;13062;0;150
332806338;412618878;41659683;40958806;4944;0;152
323644130;400451306;40130817;39250700;12695;0;154
323501491;401259410;40562152;39840839;4944;0;156
344226658;426484442;43055798;42106588;14038;0;158
330947578;409781605;41376114;40657689;4944;0;160
382050658;474527960;48256957;47317575;15747;0;162
