CORE;CPU;DRAM;DURATION;UNCORE;EXIT_CODE;INPUT
3916616;4693714;394836;372042;305;0;2
8491616;9780554;684385;646484;915;0;4
9692603;12088043;1254758;1203879;1282;0;6
14455895;17992263;1842037;1777502;1465;0;8
18404067;22892581;2349969;2272413;1892;0;10
20328928;25249264;2574823;2492197;1709;0;12
23417909;29055101;2969353;2870802;2197;0;14
27234549;33741674;3427604;3320034;2441;0;16
32407448;40253437;4103688;3987343;2137;0;18
28848498;35793426;3620536;3507791;2319;0;20
46641727;57842199;5867416;5711839;2869;0;22
49441707;61282009;6184738;6017347;3174;0;24
48878171;60628262;6158553;5994002;2869;0;26
54757855;67847971;6867964;6682923;3357;0;28
55369365;68696785;6984480;6789435;2624;0;30
57291662;71064332;7209516;7011624;3418;0;32
62606957;77595565;7854472;7645783;2991;0;34
69527959;86278588;8765237;8539850;3296;0;36
71809569;89236038;9065101;8884292;1343;0;38
72705807;90131239;9094642;8857394;4029;0;40
81268835;100695665;10194981;9926051;4272;0;42
82820955;102668195;10376133;10092938;4333;0;44
88687212;109924401;11162203;10868684;4395;0;46
89191422;110587424;11199435;10911863;4151;0;48
97550776;120968013;12242827;11942358;4883;0;50
102025374;126538556;12843534;12511236;4883;0;52
161237014;199968910;20188608;19694553;7202;0;54
106039341;131506072;13335598;13041712;3357;0;56
111580464;138312207;13998194;13646728;5798;0;58
116323189;144154111;14586327;14208391;7385;0;60
117843387;146085259;14781823;14417048;7507;0;62
134560325;166432618;16841022;16476915;3296;0;64
128834692;159551715;16113362;15705310;6775;0;66
333848755;412865276;41826248;40880354;12268;0;68
151032817;186929331;18896558;18424507;7568;0;70
145343439;180080594;18194900;17733888;8240;0;72
144705196;179334014;18142471;17705939;7264;0;74
146098564;181041040;18329787;17868387;7385;0;76
155766630;193020319;19523693;19034392;7691;0;78
191422240;237359927;24017395;23500940;6775;0;80
171638843;212454229;21514594;20986294;8362;0;82
206568380;255459613;25770015;25163097;11353;0;84
209565382;259946783;26381768;25908216;3235;0;86
184105120;228021511;22958437;22386201;10681;0;88
178010957;220699814;22366459;21807558;12513;0;90
187611275;232924026;23612367;23182375;4028;0;92
185429518;229846031;23233217;22663862;10986;0;94
204569483;253570884;25751826;25007297;11230;0;96
193526421;239852902;24287841;23863738;3235;0;98
229489768;284707951;28738818;28126789;13183;0;100
213942079;265151970;26757500;26150853;10498;0;102
208918166;258920114;26142145;25511986;11719;0;104
221586591;274852873;27826467;27089345;11841;0;106
208966018;258940560;26182551;25537204;11719;0;108
246917336;306014109;30840498;30180883;12024;0;110
220139817;272534092;27504385;26816609;11658;0;112
225073947;278761432;28033010;27372732;12268;0;114
236742497;293332928;29642808;28923722;13184;0;116
