CORE;CPU;DRAM;DURATION;UNCORE;EXIT_CODE;INPUT
3959462;4692553;379638;350364;1098;0;2
8409646;9694128;688353;651207;732;0;4
11920196;14060878;1120786;1072713;1221;0;6
14967980;18384108;1773738;1722559;611;0;8
26423577;30792646;2275934;2200178;1648;0;10
27374442;32701088;2771843;2678797;2014;0;12
26439873;31894999;2865166;2773488;2198;0;14
33621374;39317465;3003776;2902229;1892;0;16
39146506;46219853;3717093;3601276;1831;0;18
28193776;34991793;3571097;3460599;1770;0;20
46311039;57425390;5815720;5661692;2502;0;22
56085733;67157360;5809251;5650832;2685;0;24
48082030;59573761;6030685;5872491;2564;0;26
62499290;75189444;6656905;6471927;2503;0;28
61914087;74369988;6536605;6359871;2869;0;30
67938791;84492764;8553140;8431814;1648;0;32
62693565;77723129;7873210;7681038;3174;0;34
68980902;85516383;8658303;8441181;3296;0;36
73354914;91023876;9217933;8996221;3174;0;38
71061647;88040179;8907692;8688293;3052;0;40
82255160;101987898;10302708;10050240;4029;0;42
81975742;101602096;10278049;10054536;2930;0;44
88402362;109505091;11073275;10812007;3601;0;46
94840822;115213450;10696201;10419758;3662;0;48
96228086;119187439;12079864;11779731;4517;0;50
101434494;125804304;12770109;12469180;4211;0;52
159837115;198672648;20108835;19791619;2258;0;54
108063078;133943688;13580165;13245949;4578;0;56
119683959;145985100;13783534;13444322;5371;0;58
115443186;143083618;14484216;14126477;4638;0;60
118009952;146409782;14837425;14534233;4028;0;62
133270655;164939763;16653522;16262669;5677;0;64
133142115;165011052;16694904;16305948;5249;0;66
329084850;407320064;41178728;40494994;6348;0;68
151463174;187718514;19047619;18595329;5494;0;70
146183708;181246546;18359572;17949597;5493;0;72
143852659;178277986;18051589;17669164;4822;0;74
151989052;185884778;17796586;17365818;6103;0;76
154515351;191288939;19301403;18856991;5859;0;78
190396241;235985907;23877258;23425137;5005;0;80
170607596;211230233;21388007;20917522;7080;0;82
203744351;252025600;25481563;24902824;6775;0;84
207255024;256825515;25980647;25556514;3052;0;86
180947718;224152380;22674014;22129087;7019;0;88
175324503;217286614;21960088;21474065;6713;0;90
186418895;231310748;23386231;22986331;3234;0;92
190550599;233837841;22659305;22141636;6653;0;94
201754610;250191132;25359066;24776906;8911;0;96
197412337;245149702;24907834;24500367;2320;0;98
201266880;249396151;25190304;24636360;7386;0;100
205364648;254649922;25801447;25202011;7995;0;102
201401340;250055634;25445247;25052852;793;0;104
213587527;264632197;26762321;26142993;8667;0;106
227196806;281985667;28573047;28027774;7080;0;108
232743606;288509088;29211473;28551395;8606;0;110
220337998;273070285;27631094;27021092;7080;0;112
222447063;275650296;27816152;27176394;7813;0;114
237417666;294359903;29767624;29154965;8362;0;116
232506729;287867366;29038500;28369754;8056;0;118
257360730;320105809;32779213;32200264;7080;0;120
259650886;319345252;31308148;30580268;8789;0;122
250970549;310938718;31442730;30801354;6958;0;124
250186310;310097228;31401409;30714396;8789;0;126
265289482;328564345;33207435;32543837;6836;0;128
259815558;321625092;32476662;31742090;9827;0;130
265442314;328864698;33234046;32578914;6775;0;132
267701707;331198981;33298987;32528500;10010;0;134
271144875;336068414;34010716;33347783;5860;0;136
284271855;352219679;35520967;34697344;10254;0;138
270413065;335164974;33907201;33271063;5493;0;140
289693777;359162838;36432096;35591378;10254;0;142
299601345;371769129;37600734;36994385;5066;0;144
301715048;374048725;37913049;37054509;11474;0;146
292451582;362373767;36624052;35985395;4822;0;148
312894096;387499740;39177146;38286106;10376;0;150
332214909;408930838;40362201;39642965;4761;0;152
326031026;403914249;40805010;39926389;11292;0;154
319997899;396740866;40169148;39506251;4394;0;156
336755119;416877717;42125807;41152951;12695;0;158
331984807;411641402;41608963;40951038;3723;0;160
345399995;427997867;43289013;42374406;12268;0;162
362866991;447450331;44319344;43604848;3356;0;164
352167677;435790083;43928415;42948409;12695;0;166
362834337;449356088;45420477;44727418;3723;0;168
358390806;443513025;44726509;43725219;12512;0;170
397795124;492988911;49939691;49178115;3051;0;172
406136350;503031794;50891105;49756878;14892;0;174
870876921;1077180104;108984767;107389240;2014;0;176
178217012;218476491;21199469;20679755;7752;0;178
437843727;542588821;55024029;53971052;8606;0;180
395310023;490433803;49829951;48754662;13977;0;182
301766989;374189899;37895410;37328289;1464;0;184
456699575;565087726;57019202;55800104;14465;0;186
533291665;660977311;66950817;65642049;14648;0;188
358829160;444088523;44926520;43884079;12756;0;190
471069107;583295076;59018830;58105755;3601;0;192
552071096;684204059;69218756;67952942;14221;0;194
531423017;657864221;66453870;65109083;14099;0;196
497789253;616767647;62426903;61125004;14282;0;198
442404629;548460571;55676188;54492096;15198;0;200
467160730;578429428;58601657;57345594;14649;0;202
549516537;680850857;68993537;67615820;14343;0;204
532214030;659149618;66720228;65351170;15076;0;206
441754362;547553591;55517192;54321466;15015;0;208
431278681;533524086;53839339;52613295;14343;0;210
407017512;501948788;49841120;48707818;14160;0;212
402487984;498346808;50425897;49697977;2014;0;214
697714035;864456405;87516316;85905883;14892;0;216
340563521;421435018;42509108;41554718;12512;0;218
405266968;501966732;50792656;49974589;3418;0;220
388383588;481031422;48618955;47593834;13977;0;222
376922802;464536653;46031864;45342883;2258;0;224
445453938;551512565;55845011;54550441;15442;0;226
855544319;1059023106;107001191;105067795;14954;0;228
329797679;408470573;41255204;40351955;12391;0;230
313150688;388101973;39331016;38646448;4150;0;232
300347131;371940210;37637538;36757609;11596;0;234
161063370;199570595;20211679;19763409;5005;0;236
302426105;374488787;37874170;37014235;11658;0;238
281220532;348438012;35312898;34694850;4577;0;240
214872741;266364003;27022697;26397906;8301;0;242
320088048;396414451;40055195;39296972;7141;0;244
312348688;386719591;39178306;38293622;10804;0;246
298094634;369998137;37559413;36983440;5066;0;248
332549258;411782942;41703873;40794757;11597;0;250
362339770;448463817;45319464;44561709;3723;0;252
314878039;387268295;38051660;37201897;11230;0;254
382731992;474178535;47980468;47176217;4943;0;256
152725134;189362980;19266675;18780544;6409;0;258
960061141;1195593497;122809622;120870818;10132;137;260
348428185;432653311;43992685;42987058;12451;0;262
382867672;474541265;48011657;47284950;4456;0;264
491224756;608202789;61393764;60147536;14832;0;266
973942392;1213294501;124650926;122826858;15686;137;268
304582533;379098150;38789756;37910287;10253;0;270
256455215;316846052;31400432;30876254;4760;0;272
245434003;304244399;30832623;30126013;10010;0;274
338208668;419004848;42313673;41522737;6714;0;276
200296362;247947974;25046444;24472054;6836;0;278
254934833;315563096;31921000;31220466;9034;0;280
215880917;267592577;27163748;26547942;7874;0;282
198596537;246153972;24877866;24274399;8056;0;284
1065166035;1333883853;137868910;135761556;15259;137;286
292791487;362926805;36618802;35790709;11108;0;288
1017433247;1274876009;132311673;130674799;6409;137;290
1019560622;1277361537;132367825;130236894;15442;137;292
1015354274;1271438029;131795195;129692724;15380;137;294
209748182;259663520;25945124;25298438;7386;0;296
293303814;363375047;36796109;36003961;8057;0;298
276339808;342074075;34612521;33807815;10071;0;300
175993873;218156058;22126408;21605273;4883;0;302
194010001;238092530;23133608;22566874;7996;0;304
247887671;306886544;31043622;30342864;8057;0;306
264154842;326924090;33068763;32261648;10132;0;308
161868971;200494726;20364816;19876885;7264;0;310
989606475;1239120180;129035437;127115573;14526;137;312
905922791;1120603699;112979875;110771041;15992;0;314
702999299;869673311;87998371;86380588;15137;0;316
1072553284;1349407983;141884281;139803776;14649;137;318
999109869;1248129617;128787695;126715277;16479;137;320
454351009;563364769;57247290;55951523;15320;0;322
1058320655;1323254547;135853534;133678702;15076;137;324
964335117;1204192413;124540270;122467643;15564;137;326
987468724;1230721093;126233869;124116981;15442;137;328
959253892;1195245354;123028799;121136611;16296;137;330
989269623;1235922251;127922646;125796424;14526;137;332
1237057014;1568755628;165859378;163514435;14344;137;334
335911921;413802041;40899492;39853431;11902;0;336
582660068;721826155;73172786;72093917;4883;0;338
967352504;1203848298;123089407;121107859;15441;137;340
432931692;535825350;53914962;52691105;14527;0;342
980405815;1221743821;125899519;123981378;14832;137;344
1164740915;1471554277;154637361;152368767;15869;137;346
1003815423;1252576322;128849524;126803550;16418;137;348
996107680;1238875734;126349041;124283509;14099;137;350
2182511319;2818999742;301977255;297777956;17090;137;352
898678302;1110581080;111472370;109453974;14771;0;354
973595347;1217212339;126582928;124634927;15442;137;356
981745717;1227391633;127156596;125099179;14648;137;358
984950970;1228432829;126450238;124504742;14038;137;360
803719805;995133133;100807298;98872975;14527;0;362
1481731741;1893397924;201517978;198261829;15869;137;364
1550825498;1976131965;207316547;204059536;15808;137;366
1147789359;1439592995;147765491;145369690;15869;137;368
252473597;313077324;31797403;31012152;8851;0;370
212086676;260188604;25332699;24703428;7385;0;372
254163412;314963122;32006266;31251186;9461;0;374
241548637;296777927;29152270;28499063;6226;0;376
168284725;208608353;21178779;20666185;6104;0;378
185839551;230296041;23390809;22804108;7507;0;380
218554372;268218124;26197138;25693020;2563;0;382
230727986;283061470;27663260;27001236;7751;0;384
188835637;233853039;23730591;23156705;7141;0;386
201374912;246938150;24046386;23611371;915;0;388
208905655;256206619;24963437;24352039;7080;0;390
205175439;254344686;25838495;25229446;7507;0;392
151187052;187381600;19071545;18718409;976;0;394
243787950;301934957;30664716;29912061;8972;0;396
174692302;216311214;21894598;21353781;6897;0;398
218609487;270819558;27544485;26855978;8361;0;400
204104214;252898645;25704402;25092463;7507;0;402
248357580;304734389;29776352;29050518;8972;0;404
171299915;212376715;21599127;21047919;6225;0;406
178738617;219097645;21263251;20872183;1038;0;408
187239328;232004045;23533509;22954587;7325;0;410
245866924;302058919;29652634;28942550;8362;0;412
211252694;261469850;26515679;25854476;9033;0;414
232366043;287516109;29115953;28425516;7263;0;416
232728652;287910701;29150194;28451781;9399;0;418
220272568;270404032;26364679;25721920;7203;0;420
186995371;231566119;23504518;22918780;7507;0;422
230191488;285161746;29044481;28400527;8728;0;424
150282208;186034985;18943311;18425625;5920;0;426
207101825;256513077;25969905;25348623;8240;0;428
211642586;262164062;26639946;26141482;3174;0;430
199349954;246593424;24947445;24316302;7080;0;432
220089280;272307591;27587698;26913525;8483;0;434
224599339;278071920;28204823;27521481;8178;0;436
223429542;276412012;27961537;27315436;7690;0;438
207039936;256154496;25967097;25303783;8239;0;440
230054343;284857242;28907519;28229050;7812;0;442
193889091;240050960;24401976;23788170;7202;0;444
204112454;252701380;25665767;25010598;8789;0;446
158390342;196557541;20036020;19648446;1587;0;448
196163377;240580989;23418091;22828677;6897;0;450
214492431;265663016;26970573;26307773;7874;0;452
254762837;315634568;32036722;31520014;1587;0;454
204052151;252836327;25723933;25096093;8300;0;456
213973085;262814513;25766841;25136250;7874;0;458
198099713;245261823;24897642;24460217;672;0;460
233577344;289336784;29461716;28725564;9644;0;462
192627315;238530944;24251830;23641437;7873;0;464
207028462;256312332;26088678;25435426;7629;0;466
234442393;290424428;29530808;28856591;8118;0;468
208267412;258095043;26145441;25549185;7630;0;470
217136834;268663802;27200064;26539202;8240;0;472
177028172;219258106;22285588;21716459;6226;0;474
191556822;237227726;24198913;23472544;8972;0;476
237832704;294740701;29960556;29432495;2930;0;478
203132842;248961704;24222167;23598770;7812;0;480
222260539;275352139;27974720;27317224;9095;0;482
223233010;276781274;28172596;27482688;8118;0;484
216266780;267943589;27258841;26618082;7751;0;486
209343092;259236397;26330865;25681664;8362;0;488
200652440;248617833;25292293;24677025;7202;0;490
183927020;228272670;23249574;22847620;1037;0;492
192812373;238844542;24213683;23607789;6714;0;494
192963373;236584905;23007814;22418548;7507;0;496
189558353;234916147;23926696;23469886;1953;0;498
234803843;288184443;28186268;27460762;8606;0;500
198684306;245966533;24944273;24327499;6836;0;502
154065523;188534796;18237258;17725892;5738;0;504
202325776;248083777;24178954;23563584;7324;0;506
217685539;269472760;27276846;26744278;4456;0;508
206383566;255276935;25966731;25269500;8300;0;510
205425073;254407979;25856135;25211859;7629;0;512
192357967;238179444;24065552;23457799;7569;0;514
205388024;254128988;25641353;25013839;7019;0;516
210024242;260195989;26470391;25980583;2258;0;518
231804766;287069578;29113756;28412781;9583;0;520
183334797;224721959;21874639;21303314;6347;0;522
201482212;249319369;25260494;24778446;1892;0;524
196467148;243181324;24722837;24074568;7141;0;526
213566897;264469416;26864250;26194430;8301;0;528
187101084;231741045;23587281;23149591;976;0;530
208176835;255582415;24980282;24362689;7568;0;532
193276421;239550229;24423888;23791276;7141;0;534
161220474;200097693;20386239;19985738;1953;0;536
184021074;227583097;23090822;22485463;8179;0;538
167400878;207381122;21106330;20547872;5676;0;540
184315385;229184655;23498902;23075673;3174;0;542
170290092;210778208;21392340;20831678;6470;0;544
193028009;239260129;24326720;23695527;8179;0;546
204593836;253716696;25849177;25346236;2991;0;548
200764562;248621495;25264340;24626064;7569;0;550
223788368;277135338;28149647;27467861;7324;0;552
191430846;237097721;24114745;23486843;7507;0;554
215029662;266422230;27117179;26435786;7508;0;556
174721599;216544062;22058903;21638143;976;0;558
198729532;245989970;24988339;24350943;8484;0;560
211845710;262105958;26565240;25884141;7629;0;562
192652339;238848571;24296447;23850751;1098;0;564
194602285;241195916;24595823;23975610;6897;0;566
198129681;245223127;24852658;24225534;7751;0;568
171530384;212590703;21667181;21239968;1831;0;570
156461025;193668937;19682140;19160825;7202;0;572
213697695;262284057;25686885;24994882;7995;0;574
194610647;241225640;24571043;24074779;2929;0;576
202702850;251000701;25525935;24866257;7568;0;578
186899241;229044946;22246769;21644596;7752;0;580
211117074;258968453;25221493;24717350;2747;0;582
159725788;197669965;20098947;19551047;6226;0;584
228176113;280305923;27552297;26830616;8301;0;586
193118524;239054258;24221557;23741581;2197;0;588
217271660;268936629;27356376;26625667;8362;0;590
186754221;231401263;23630494;22992399;6836;0;592
167063354;207127766;21131476;20689542;1953;0;594
219804674;272454381;27820852;27109791;7751;0;596
205877281;254767170;25848750;25202791;8179;0;598
