CORE;CPU;DRAM;DURATION;UNCORE;EXIT_CODE;INPUT
1128720;1659786;261718;224689;854;0;2
2217279;2785027;329345;290316;427;0;4
3319327;4155812;482604;434668;245;0;6
4963428;6214584;721983;653759;793;0;8
6376937;7956523;914549;829235;427;0;10
7182050;8966164;1041563;942642;733;0;12
8372843;10435582;1198606;1094520;671;0;14
9466956;11802643;1352962;1232720;733;0;16
11235994;13999110;1603939;1462951;793;0;18
13147366;16382709;1872370;1719052;977;0;20
15419150;19208630;2180719;2010460;915;0;22
15211753;18957044;2162348;1986718;977;0;24
16464557;20508553;2331476;2148599;976;0;26
18854444;23513063;2682122;2469820;1404;0;28
19015759;23686219;2689080;2473069;1282;0;30
20782966;25894342;2949212;2714894;1404;0;32
21396552;26609368;2990593;2758319;1465;0;34
24845456;30974957;3521720;3254801;1892;0;36
25691646;31969828;3601004;3326136;1404;0;38
26494317;32990394;3738882;3443245;2014;0;40
29781540;37070706;4195424;3879397;1892;0;42
28965929;36099700;4092152;3784988;1343;0;44
31769206;39559286;4483143;4138245;1648;0;46
32940223;41026628;4636645;4300225;1403;0;48
37894800;47178101;5335009;4932954;2258;0;50
34342686;42775464;4842883;4482738;1587;0;52
39562643;49347774;5605088;5193683;2014;0;54
37062161;46157292;5219469;4824930;1831;0;56
38390160;47803528;5414537;5005789;2014;0;58
40264484;50130060;5662766;5240752;1892;0;60
42436781;52840441;5986435;5539967;2320;0;62
46713565;58139866;6571089;6074841;2685;0;64
46427799;57827488;6561385;6077970;2075;0;66
118569826;147620593;16603839;15642911;1709;0;68
62494896;77778121;8780312;8163571;3052;0;70
49309078;61383571;6948651;6443191;2380;0;72
49464778;61599452;6982892;6465183;2503;0;74
51273856;63881245;7246442;6720997;2441;0;76
53935226;67164684;7616680;7057142;1953;0;78
72435300;90316236;10224400;9527752;3724;0;80
56182412;70035526;7998270;7460013;2319;0;82
74274774;92497749;10482090;9768591;2930;0;84
68049325;84727749;9589819;8912999;3357;0;86
65752090;81857152;9244788;8590108;2808;0;88
62286400;77718002;8844154;8222917;2929;0;90
65234757;81213904;9173743;8506358;3052;0;92
67168224;83636993;9459936;8797473;2197;0;94
70976686;88381975;9997533;9277159;2990;0;96
66670545;83054841;9411475;8731866;3173;0;98
64572832;80379433;9099037;8430184;2686;0;100
70842348;88233661;9973424;9262960;3479;0;102
73517756;91533946;10312962;9594065;3296;0;104
75050711;93455999;10547215;9839106;2747;0;106
73624018;91785898;10431187;9707001;2930;0;108
80680519;100497057;11389314;10608837;3173;0;110
77889449;96989864;10973482;10216097;3417;0;112
77171006;96067747;10816379;10067465;2990;0;114
83264252;103650552;11709199;10886839;3296;0;116
81415563;101361679;11460542;10645681;3724;0;118
87036459;108372770;12236907;11388347;3723;0;120
86925254;108213651;12199981;11351322;3296;0;122
82328464;102473919;11579621;10752561;3418;0;124
86127099;107258087;12118927;11311649;2441;0;126
90260999;112344805;12673857;11789845;4089;0;128
92116036;114790844;12993314;12085953;4150;0;130
91002147;113286209;12784574;11901785;3968;0;132
92924262;115603891;12991544;12084274;3662;0;134
100001514;124617784;14064234;13214302;1465;0;136
101284286;126028669;14179468;13196698;4028;0;138
95764891;119207276;13459316;12510737;3845;0;140
100964341;125657027;14168420;13184188;3906;0;142
99610463;124130603;14037989;13091173;3967;0;144
100579821;125200302;14117883;13127964;3906;0;146
102557965;127679238;14426599;13415872;4578;0;148
108363065;134899679;15201255;14167807;4394;0;150
110110985;137266739;15512350;14533512;3418;0;152
111036642;138184460;15554282;14496932;4639;0;154
114755444;142799561;16073201;14995362;5188;0;156
114886546;143352111;16251179;15180429;4395;0;158
112467669;139991218;15753988;14755480;2197;0;160
126784831;157792138;17777054;16587843;4944;0;162
126245221;157135401;17713028;16537120;5738;0;164
133963524;166686402;18773329;17517617;4577;0;166
133473230;166025515;18620008;17404346;4700;0;168
130912323;162987132;18407485;17162631;5676;0;170
139271921;173392988;19590892;18279917;4334;0;172
146405448;182052757;20388558;19056512;5310;0;174
317433513;394840664;44540535;41639871;8789;0;176
33418127;41681778;4764453;4387310;1831;0;178
152111244;189387332;21390448;19971943;5310;0;180
161273696;200734350;22674075;21141429;5981;0;182
156958765;195389820;22016911;20665193;2380;0;184
170418814;212672063;24194885;22667771;6042;0;186
114681469;142741822;16108418;14984600;4639;0;188
196503709;244615158;27590505;25854333;4517;0;190
195597949;243546617;27528372;25719618;7080;0;192
185711927;231317584;26096125;24367193;7019;0;194
138563305;172586106;19507335;18323989;732;0;196
183556903;228383631;25722468;24021944;6958;0;198
110459495;137522781;15575582;14455027;3967;0;200
157087367;195531665;22021550;20623904;3845;0;202
207611712;258220958;28962633;27060936;7263;0;204
113246780;141074712;15978047;14851880;3967;0;206
136832231;170312370;19189282;17944688;2869;0;208
255597063;317974284;35761566;33411600;7752;0;210
120121153;149461165;16837542;15674652;3967;0;212
129669712;161465834;18198501;17068775;1343;0;214
252276759;314134389;35361603;33082920;9094;0;216
94747987;118285464;13428188;12509708;3540;0;218
133264551;165978274;18743543;17558982;1953;0;220
100231127;124821885;14152185;13142474;4212;0;222
150914470;187837776;21199287;19760321;5432;0;224
80547584;100293445;11354341;10539772;3174;0;226
159746112;198949564;22466251;21064985;2502;0;228
103382914;129292638;14756615;13803761;4883;0;230
94519533;117781192;13367214;12435733;3845;0;232
81445775;101451767;11519685;10693217;3418;0;234
82144260;102350507;11637177;10791716;3418;0;236
62575401;77950850;8831947;8210514;1404;0;238
289509757;360038202;40491351;37800872;10071;0;240
