CORE;CPU;DRAM;DURATION;UNCORE;EXIT_CODE;INPUT
1113705;1545468;221740;200760;0;0;2
2279657;2839348;330138;290735;488;0;4
3356314;4192067;480589;434073;305;0;6
4910449;6113265;700010;632983;488;0;8
6423446;7999796;902342;830230;428;0;10
7092816;8821328;1000730;917085;366;0;12
8433939;10494907;1184018;1087412;549;0;14
9451148;11757355;1327084;1220626;611;0;16
11186983;13912318;1569699;1445707;549;0;18
13197415;16409382;1859675;1707891;977;0;20
15243064;18950330;2120356;1960670;976;0;22
15245139;18967237;2138179;1975108;1160;0;24
16701739;20803230;2341730;2174230;915;0;26
18455153;22956667;2578668;2387442;1221;0;28
18964551;23587037;2645013;2450769;1221;0;30
20847664;25925959;2911736;2700109;1159;0;32
21322333;26532708;2987602;2770308;1343;0;34
24641111;30661970;3454153;3207443;1038;0;36
25632137;31878214;3556448;3300094;1404;0;38
26356194;32814918;3695425;3433002;1403;0;40
29693101;36934598;4142384;3847024;1770;0;42
28741992;35741974;4002676;3717527;1464;0;44
31866007;39630452;4448475;4130331;1893;0;46
33521337;41727127;4665088;4353861;1281;0;48
38354455;47765381;5367968;4997057;1709;0;50
34458897;42885816;4813831;4479978;1404;0;52
39195335;48753660;5444200;5067809;1953;0;54
36626310;45569952;5119250;4763449;1647;0;56
38325159;47670471;5352159;4974959;1647;0;58
40706133;50681389;5707505;5316761;1892;0;60
43590953;54486006;6163253;5761098;2014;0;62
46475345;57830479;6488997;6042595;2136;0;64
45761357;56954383;6397384;5954103;1953;0;66
117728642;146485221;16427143;15485558;1770;0;68
62445763;77663437;8719826;8125883;2503;0;70
49597163;61710352;6940778;6460489;1892;0;72
49254268;61264675;6890242;6415575;2197;0;74
50703423;63076316;7093305;6600164;2381;0;76
54396406;67684947;7615520;7093611;2441;0;78
70558291;87752949;9843175;9186892;2442;0;80
54837690;68213144;7686321;7170574;2502;0;82
73956659;92013070;10358311;9685762;2991;0;84
67373912;83803191;9427527;8784846;2747;0;86
65773575;81806493;9166297;8546231;2563;0;88
60648649;75449758;8468423;7891860;2503;0;90
65494949;81415990;9117652;8486331;2380;0;92
66733350;83046052;9349830;8712466;2380;0;94
70985108;88294696;9922033;9236374;2685;0;96
66173964;82332492;9267066;8621056;2625;0;98
64430621;80189370;9033546;8403357;2502;0;100
71313416;88845292;9998326;9338868;2747;0;102
73475337;91533213;10294713;9603913;2747;0;104
74663078;92924933;10459262;9774307;2136;0;106
72379026;90064467;10137914;9438905;2930;0;108
77896468;96944942;10903658;10163457;3418;0;110
76606066;95301086;10717318;9971523;3235;0;112
77074815;95934325;10785434;10053633;3051;0;114
82686922;102876263;11562471;10771777;2625;0;116
81214331;101045762;11352510;10590218;2747;0;118
86811911;107958098;12088470;11267323;3845;0;120
85819910;106775301;11982330;11185474;3052;0;122
82514803;102661419;11561555;10766611;3357;0;124
86945151;108239103;12182647;11397374;2380;0;126
91468272;113861037;12820218;11972379;3113;0;128
91215343;113542983;12772062;11923162;3235;0;130
91191906;113428115;12741178;11869004;3845;0;132
92394356;114963634;12938504;12065692;3601;0;134
98952444;123212881;13863734;13048347;1343;0;136
100847398;125476364;14112329;13159949;3907;0;138
96004942;119449585;13417873;12517779;4150;0;140
102924663;128307777;14492395;13522905;3540;0;142
98830130;123000051;13827358;12910040;3113;0;144
140711920;167145751;19118603;13424617;4028;0;146
135105612;161983655;17853287;13827319;4029;0;148
140032906;169587029;17898880;15407856;4760;0;150
157172083;186628612;19906566;15029767;2868;0;152
158298240;187714974;19716686;15029823;4700;0;154
112221942;139648691;15761739;14662431;4273;0;156
111670674;139001536;15681905;14623320;5004;0;158
112461931;140077278;15810811;14804438;2136;0;160
126819988;157979515;17894852;16696039;4456;0;162
125007676;155568755;17520463;16365573;5188;0;164
174182477;208602860;22055608;17839346;5432;0;166
132211148;164467535;18505384;17250946;5493;0;168
130390475;162270520;18308058;17077263;5676;0;170
138428539;172266100;19423107;18129557;4700;0;172
145013057;180440395;20345712;18977371;4578;0;174
321084933;399903884;45219489;42238188;9033;0;176
33188880;42335646;5125170;4754863;2258;0;178
151766091;188794805;21250129;19836005;5249;0;180
161045730;200224524;22444156;20965397;5798;0;182
156221707;194440604;21865422;20533470;2625;0;184
165202763;205612633;23119265;21663052;5920;0;186
114729016;142806825;16069051;14996940;4944;0;188
195072071;242828724;27370413;25671487;4639;0;190
193379938;240579218;27042045;25275157;6775;0;192
181422876;225690096;25348873;23719734;6897;0;194
139491891;173806135;19618358;18424227;1282;0;196
184195390;229157006;25726985;24056244;6226;0;198
111338155;138535473;15580404;14528717;4577;0;200
155500030;193591362;21797918;20438097;3968;0;202
208359635;259619148;29325730;27438223;7446;0;204
112064410;139419687;15693869;14637089;5371;0;206
138171277;172184008;19435864;18225059;3173;0;208
255330523;317650676;35763885;33426204;9887;0;210
121359309;151184306;17136797;15997820;4456;0;212
129159521;160878922;18165115;17079311;1221;0;214
247181985;307727545;34715548;32471974;8972;0;216
91601450;114000684;12861784;11981714;4150;0;218
