CORE;CPU;DRAM;DURATION;UNCORE;EXIT_CODE;INPUT
686705;960874;135619;123825;244;0;2
1311947;1633480;169555;144705;549;0;4
1867549;2317499;234801;205647;732;0;6
2450372;3016838;301635;266785;611;0;8
2984673;3687246;373229;330915;1159;0;10
3512564;4349232;434936;388313;1159;0;12
4176015;5148363;504332;453500;1281;0;14
4649402;5730576;558104;510385;915;0;16
5160021;6370589;624693;569085;1037;0;18
5849411;7212811;702940;636710;1343;0;20
6317062;7793254;760863;693615;1099;0;22
7006635;8625955;835691;763256;916;0;24
7591961;9358680;913267;828558;1648;0;26
8038371;9905859;958555;877308;1160;0;28
8689187;10691868;1035276;947720;1404;0;30
9302100;11457368;1106686;1010437;2197;0;32
9766028;12041717;1163083;1072148;1160;0;34
10508152;12957304;1233335;1140635;611;0;36
10859897;13374234;1286130;1186149;1526;0;38
8518655;11702668;1606746;1501392;1342;0;40
11212130;14141443;1486446;1373481;915;0;42
12481292;15382834;1483333;1374771;916;0;44
13170438;16196797;1553463;1431424;1526;0;46
13886500;17088274;1638973;1513161;1343;0;48
14284571;17581132;1682613;1552478;1648;0;50
14900535;18342116;1759945;1623027;2563;0;52
14502771;18239517;1899958;1760159;1587;0;54
12984952;17170428;2121699;1977327;1465;0;56
16529254;20341928;1954279;1802708;2076;0;58
16656391;20727730;2082209;1922968;2380;0;60
14505579;19171948;2364679;2201719;2442;0;62
18171828;22340214;2136835;1975313;2136;0;64
19285168;23714111;2252619;2090393;1709;0;66
17255632;22049016;2437494;2263255;2136;0;68
18302505;23284974;2540338;2354408;2258;0;70
20643502;25382686;2418817;2238920;2868;0;72
21032173;25888728;2477106;2291862;2808;0;74
17986892;23668763;2872369;2681737;2136;0;76
19289441;24899167;2842888;2646816;2563;0;78
21948796;27395560;2772149;2574066;2259;0;80
21950566;27663381;2900078;2695577;2441;0;82
21755803;27671133;2993034;2788312;2076;0;84
23766052;29616318;2974968;2767449;2502;0;86
22236454;28538929;3192741;2976378;2441;0;88
24619504;30554060;3020745;2811231;2014;0;90
