CORE;CPU;DRAM;DURATION;UNCORE;EXIT_CODE;INPUT
522521;874937;170166;150893;915;0;2
938475;1319333;197204;170135;366;0;4
1762874;2238702;245483;215785;244;0;6
2446588;3030815;307921;269743;977;0;8
2970513;3674368;365477;327323;610;0;10
3552299;4392018;433593;392248;1160;0;12
4150929;5125292;505064;453750;1160;0;14
4718494;5819687;566893;515342;1160;0;16
5317430;6557967;645628;583969;1587;0;18
5801926;7143903;695128;632543;1160;0;20
6393661;7891032;765379;699732;1221;0;22
6926740;8529763;834897;760606;1587;0;24
7632610;9399573;902280;828661;855;0;26
8069681;9957189;965635;887028;1709;0;28
8648110;10640475;1020627;937298;1587;0;30
9131934;11245089;1089169;998527;1526;0;32
9498023;11798066;1175412;1082982;1831;0;34
7696819;10575840;1449032;1354018;1465;0;36
10254063;12960721;1375912;1280390;855;0;38
11188203;13911280;1385922;1280706;1709;0;40
9004494;12371062;1690914;1583609;1221;0;42
12166534;15094810;1505062;1386958;1953;0;44
11399202;14717797;1679989;1567185;1404;0;46
11543672;15107139;1790157;1672850;1465;0;48
14426965;17759170;1697872;1568335;2136;0;50
14751915;18149001;1740107;1607205;2381;0;52
15454672;19026502;1821590;1683893;2136;0;54
16217610;19945811;1902522;1762508;2502;0;56
13791835;18178665;2223200;2066549;1892;0;58
16210408;20322152;2094417;1944030;2014;0;60
17705704;21794500;2084772;1932234;2014;0;62
14624291;19409374;2417841;2259019;2990;0;64
18504103;22926883;2258111;2090523;1892;0;66
19244091;23718323;2275507;2106343;2686;0;68
16043660;21280463;2651482;2479990;2075;0;70
20380991;25079831;2397333;2220907;2686;0;72
18312514;23639649;2695672;2516261;2380;0;74
20528756;25705134;2628045;2444509;2503;0;76
21300910;26511041;2645379;2461205;2746;0;78
19518871;25287533;2914543;2722784;2746;0;80
23323548;28692492;2730401;2537139;1953;0;82
22933901;28579578;2872368;2670637;2868;0;84
21514288;27673147;3110954;2908418;2380;0;86
20818489;27236930;3239493;3032496;3052;0;88
25404842;31250103;2978386;2765972;2686;0;90
22084477;28795275;3386099;3170880;3418;0;92
23191713;29894028;3388114;3169198;3296;0;94
26941460;33351966;3257621;3030175;2380;0;96
24112854;31256145;3606741;3377253;2991;0;98
25154354;32200479;3561698;3331168;2686;0;100
25985895;33047950;3579397;3338054;3235;0;102
26532647;33770421;3656545;3413847;3052;0;104
27106681;34578281;3782034;3535731;3113;0;106
26960869;34733859;3929189;3672089;3052;0;108
30887494;37986780;3613211;3359964;3296;0;110
31651958;38930259;3705862;3452354;2868;0;112
32126261;39708700;3844289;3588122;3357;0;114
29971725;38215723;4166798;3898098;2503;0;116
29349046;37706629;4210377;3944995;3296;0;118
30077499;38601525;4314870;4039758;3418;0;120
34226963;42088698;4007313;3727997;2991;0;122
31105817;39872457;4427662;4145523;2930;0;124
35528535;43699900;4152822;3865986;2868;0;126
32481301;41556534;4579761;4287828;3357;0;128
34571017;44107431;4812610;4518471;3357;0;130
34528231;43537913;4570789;4261410;4211;0;132
36644743;45578496;4523059;4224080;3174;0;134
34596286;44146921;4814501;4514349;3174;0;136
34956393;44610604;4880359;4564909;3357;0;138
35406099;45143745;4916857;4610609;3479;0;140
39820760;48954038;4646656;4336240;3113;0;142
36664090;46696841;5076709;4753071;3174;0;144
39032798;49110531;5095690;4763923;3906;0;146
36829190;47382813;5320787;4990692;3052;0;148
42277540;51960865;4923328;4590125;2991;0;150
42996655;52856676;5006640;4673165;2808;0;152
39313925;49944391;5372301;5033650;3723;0;154
40471881;51365102;5511339;5160188;3174;0;156
42820447;53614792;5454393;5106260;4029;0;158
39475790;50778861;5712326;5351093;3662;0;160
41632645;52723193;5600938;5266607;2075;0;162
46077946;56702186;5391587;5032206;3357;0;164
42800244;54231856;5771531;5411183;3967;0;166
47550111;58455234;5535692;5166290;3662;0;168
44483224;56319436;5980759;5610055;4211;0;170
42328932;54500837;6135665;5755145;4028;0;172
47780762;59478302;5908310;5534070;3357;0;174
45251837;57738988;6294540;5905962;4272;0;176
43763498;56531410;6420638;6031063;3724;0;178
50633171;62246728;5900132;5505095;4760;0;180
47596802;60154937;6324813;5972643;1343;0;182
47951721;60577970;6381271;5975966;4090;0;184
48523191;61290065;6434126;6038056;3784;0;186
48191466;61335048;6630964;6223349;4395;0;188
51186881;64038838;6497359;6089829;3479;0;190
47927794;61496303;6843244;6424224;4578;0;192
50711662;64534747;6962934;6537975;4089;0;194
50885306;64276813;6769941;6331699;3357;0;196
53232713;66920788;6908979;6483869;3906;0;198
52160511;65773391;6851728;6461544;1404;0;200
53729233;67405773;6922834;6474546;4151;0;202
52244312;66384656;7136212;6687718;4578;0;204
55422282;69414190;7067670;6625016;4394;0;206
55484843;69679204;7173016;6718588;4395;0;208
58221226;71961424;6953107;6498785;3967;0;210
57016456;71379456;7263898;6801761;4760;0;212
52462573;67713450;7672954;7220636;4577;0;214
57812291;72233031;7288861;6839012;3296;0;216
59943084;74347955;7285443;6816406;3784;0;218
54884320;70473330;7852397;7375834;5249;0;220
57265783;72913570;7883280;7405859;4699;0;222
56602516;72360105;7950297;7456441;4822;0;224
57860936;73808283;8043375;7553571;4151;0;226
60050139;75442312;7780986;7294449;4272;0;228
58604098;74572746;8059732;7554017;4090;0;230
63787922;79076458;7741741;7236275;4211;0;232
59269563;76075611;8464639;7960503;5493;0;234
67324839;82774019;7835063;7320663;5249;0;236
62915305;78978070;8120218;7611133;4334;0;238
61480372;78402265;8536843;8016193;4516;0;240
60302824;77459030;8632912;8115142;5310;0;242
60077910;77171311;8611550;8106991;2441;0;244
69034857;84939358;8048808;7530790;4456;0;246
66303969;83108857;8500161;7957910;4577;0;248
67100719;84112029;8593179;8052930;4944;0;250
63430319;81146521;8930153;8383192;5555;0;252
71811461;88262957;8357401;7798975;4761;0;254
64248310;82230869;9061561;8513969;4943;0;256
65014115;83152619;9101356;8607264;3051;0;258
69719487;87331869;8900856;8353960;5188;0;260
74595268;91703561;8683876;8109873;5432;0;262
70180423;87900837;8976723;8406083;5432;0;264
66868786;85443202;9356909;8787074;5005;0;266
67958566;86769004;9494848;8907707;4822;0;268
67798838;86579612;9449805;8888557;4883;0;270
68358773;87263632;9531714;8951671;5188;0;272
72108763;90677624;9380347;8790285;4944;0;274
71315858;90461133;9674414;9069443;4944;0;276
74849845;93598333;9472998;8882718;5066;0;278
77482406;96529294;9638098;9028932;5188;0;280
74486931;93460148;9587439;8996644;3662;0;282
72403867;92376961;10048376;9453389;5615;0;284
76847459;95910338;9629553;9022307;5982;0;286
71138795;91354381;10193455;9567668;5188;0;288
71853027;92459297;10384616;9754027;5432;0;290
83386078;102491925;9676855;9048678;5372;0;292
75128286;95556213;10254063;9689647;2868;0;294
75807057;96409910;10400914;9757931;5982;0;296
76403552;97139278;10453160;9821589;5493;0;298
77441696;98410454;10578830;9933290;5249;0;300
86892600;106803804;10090123;9449584;6103;0;302
78020858;99109488;10640659;9981933;5554;0;304
76434863;97921380;10791598;10203646;2197;0;306
76722155;98432182;10938204;10270118;5982;0;308
86947104;106855927;10096226;9433699;5066;0;310
78736798;100898789;11168062;10484302;6164;0;312
83111238;104425147;10772372;10090597;5188;0;314
85505946;106712801;10727939;10045066;5798;0;316
85490870;106690645;10705539;10045749;4944;0;318
82513034;104623451;11164217;10472466;6165;0;320
81636265;104115823;11319612;10639534;5920;0;322
85273159;107492157;11220186;10525451;5249;0;324
84038787;106524508;11332429;10637266;5737;0;326
85195033;107973052;11487153;10777814;5798;0;328
84730557;107407685;11431794;10744087;5981;0;330
91394724;113920607;11384675;10662998;6103;0;332
84686123;108455716;11951263;11251938;5920;0;334
92996588;114703076;10987154;10290396;4333;0;336
92983832;115946663;11599031;10870448;5798;0;338
85585780;110032250;12288421;11572593;5371;0;340
92596686;115444040;11560578;10825327;6104;0;342
92382759;115190989;11551911;10808665;6103;0;344
86109521;110378319;12203582;11503255;4761;0;346
93000128;116250313;11765106;11011641;5676;0;348
87166403;111955524;12492583;11747849;5982;0;350
99248403;122069695;11577668;10822145;6653;0;352
87749531;112732317;12587736;11829161;6531;0;354
88668475;113866347;12673857;11959294;4089;0;356
91754892;116804633;12628996;11859458;6287;0;358
100510607;124304064;12055816;11276503;6043;0;360
94559938;119422729;12545256;11777784;6470;0;362
94125186;118818482;12451934;11685040;7202;0;364
99668019;124221361;12371306;11669682;2991;0;366
97697687;123057485;12797696;12012960;6958;0;368
92603828;118883545;13240627;12441822;5859;0;370
94933046;121541132;13442715;12601053;6165;0;372
96494809;122928580;13318997;12521554;7263;0;374
92302376;118871278;13338833;12620873;916;0;376
106612703;131080780;12402983;11601886;6592;0;378
100595751;126871867;13261868;12449336;6287;0;380
103549295;129130956;12929655;12119492;6713;0;382
94955263;122363762;13795253;12977354;6897;0;384
94988954;122160088;13631252;12906273;1160;0;386
105491979;132015287;13407986;12558295;7263;0;388
107350861;132812343;12879849;12064933;6287;0;390
100757921;128630347;14053126;13207211;6470;0;392
110224815;135734638;12920438;12077587;6591;0;394
97392084;125725569;14188867;13470643;1587;0;396
112939164;139046519;13196133;12373276;6104;0;398
102051680;129962069;14068995;13220813;6165;0;400
105714817;133141810;13846034;12994510;6225;0;402
101889815;130099215;14199061;13357603;7263;0;404
110021020;136804825;13553432;12686091;6530;0;406
102928935;131600615;14444543;13575815;7020;0;408
114041395;141487614;13900965;13019578;7324;0;410
107734954;135662556;14111841;13248973;6226;0;412
108299284;136331316;14151941;13275582;7507;0;414
105301183;134263511;14598779;13722754;7325;0;416
115357248;143437804;14163172;13304367;6775;0;418
104048501;133687096;14904625;14051516;5798;0;420
106118503;135838947;14964317;14071804;6958;0;422
108702358;137584914;14578637;13667687;7934;0;424
107047089;137180679;15146873;14259286;7324;0;426
107863615;137471023;14919334;14053672;4761;0;428
113115922;142237795;14696434;13797358;6836;0;430
120507077;148544053;14188196;13284696;7630;0;432
114998363;144557492;14933616;13996685;6042;0;434
107722869;138387463;15397727;14534792;5188;0;436
119923704;149010178;14721154;13782553;7568;0;438
112142779;142691102;15403769;14487569;8362;0;440
121372004;150796612;14873619;13942090;6897;0;442
112239459;142967103;15461142;14578990;4944;0;444
121634759;150999369;14841087;13913502;6897;0;446
115475962;146819265;15785787;14840785;9216;0;448
118131412;148423387;15305075;14356725;7080;0;450
116378547;147923144;15870992;14968443;4578;0;452
122969290;152760473;15074059;14114660;7324;0;454
113069962;145258600;16157307;15227321;6897;0;456
125131820;155583403;15422751;14437022;7935;0;458
121978264;153148777;15686728;14806296;4883;0;460
113750258;146246940;16352985;15383067;7569;0;462
115633188;148518235;16536823;15571237;7629;0;464
127580118;158402061;15591269;14621458;7080;0;466
119499999;151910317;16263813;15383715;3724;0;468
124456468;155971646;15951131;14932728;6958;0;470
129863010;161242629;15847493;14872157;7324;0;472
124606248;157893272;16762774;15741685;8544;0;474
117032904;150136700;16626910;15700128;2990;0;476
129708408;161351943;15990438;15011655;6714;0;478
127892923;160452470;16427082;15422927;8118;0;480
122993764;155981412;16643024;15618209;8362;0;482
121735834;156131314;17242693;16344395;3540;0;484
132356778;164303901;16170003;15147508;8362;0;486
121961297;155887540;17088763;16071122;8362;0;488
128673377;161809949;16701435;15695023;7263;0;490
127727090;161097244;16780352;15856154;3602;0;492
122182060;157037745;17535172;16499504;8667;0;494
127397440;161559523;17217668;16167898;8850;0;496
127776773;162115552;17299760;16259575;7995;0;498
122658682;157880760;17658402;16723739;1525;0;500
139883431;172893417;16686236;15650192;7995;0;502
131592132;166602723;17634720;16584045;8728;0;504
133836999;167730588;17104876;16067562;7812;0;506
125267136;160586747;17727371;16780410;2991;0;508
125623458;161674085;18122024;17067309;8789;0;510
140214607;173863630;17024492;15935581;8423;0;512
132282560;168227841;18099624;17023276;7690;0;514
136262713;170584890;17269609;16331489;976;0;516
133904259;169483086;17960221;16861921;9217;0;518
129400853;165532658;18175795;17120197;8301;0;520
140939763;176382788;17890640;16804897;7995;0;522
137149490;173400374;18254653;17183274;9095;0;524
131122772;167743223;18460402;17333480;8483;0;526
141076970;176488196;17885880;16784725;7751;0;528
138595470;175196940;18410903;17334763;7935;0;530
134658103;172064440;18838148;17721567;9582;0;532
143324340;179279448;18121230;17039527;8178;0;534
138470226;175040018;18406386;17321324;8240;0;536
138902904;175516824;18460524;17352467;9644;0;538
135363362;172858444;18889478;17755369;7507;0;540
147104115;184067033;18655164;17514788;8972;0;542
135633930;174548259;19543468;18420051;9155;0;544
137096390;175132120;19117871;18025831;8057;0;546
150074384;187309701;18788404;17655305;9400;0;548
137980054;176417639;19364086;18202188;8179;0;550
147301075;184179887;18634962;17490799;8362;0;552
140203865;178186250;19164380;17995822;8301;0;554
139628061;178326997;19460217;18321311;8179;0;556
145088556;183419025;19294628;18151153;8423;0;558
149342514;186777415;18930127;17742886;8362;0;560
141330571;180237148;19569347;18419261;9399;0;562
138617687;178329622;19957225;18817065;6530;0;564
150485455;188167487;19034314;17863266;9156;0;566
139945748;179985440;20163156;18962402;9826;0;568
148176317;187549202;19803111;18665635;6530;0;570
152484107;190637574;19255444;18066320;8789;0;572
148323839;187607674;19774546;18607864;9399;0;574
147568348;186614574;19706126;18517929;7080;0;576
154980072;194150931;19781749;18557383;9278;0;578
151941627;191144530;19817088;18590045;8606;0;580
142600953;183340107;20486764;19319308;7690;0;582
149045456;189343022;20294687;19088006;8728;0;584
156727199;196061998;19855540;18647327;9521;0;586
147808521;188145453;20318735;19135688;7324;0;588
149683271;190422730;20536385;19295405;10437;0;590
150114911;191395506;20811470;19554089;8972;0;592
157615013;197892438;20312021;19127228;6530;0;594
148281481;190150392;21056098;19812766;9765;0;596
160671586;200983067;20326242;19093996;9094;0;598
147931017;189958132;21095649;19932581;6592;0;600
152109779;193894706;21063972;19793488;11475;0;602
159004659;199689857;20541696;19268137;8606;0;604
156737208;197564802;20574288;19393379;5799;0;606
153166478;196123949;21625310;20342713;10132;0;608
156167142;198334942;21277778;19959480;9827;0;610
159639790;201256870;20939033;19755786;6531;0;612
163429940;205138940;21022407;19767493;9155;0;614
152756323;196259690;21868902;20580536;10804;0;616
165458317;206642598;20792793;19562110;5798;0;618
162499462;204531398;21231635;19925186;10193;0;620
157110071;201187839;22206181;20872441;10498;0;622
160988724;203296598;21277899;20080626;5432;0;624
154875702;199266885;22305973;21013954;10681;0;626
160275774;203591520;21816228;20501433;10193;0;628
164670355;207300556;21492559;20262418;5188;0;630
170343741;213596377;21805913;20505334;11108;0;632
162405224;206645345;22280338;20955845;9827;0;634
165806033;209626966;22062931;20825628;5555;0;636
166770264;210529979;22106999;20743625;10071;0;638
164711126;208909560;22258304;20949766;9522;0;640
159442646;204320522;22529300;21301392;5249;0;642
169749932;213191104;21922063;20583958;10681;0;644
162604686;208463761;23057131;21719876;10315;0;646
158252342;203541593;22711184;21500565;4517;0;648
171556079;214695922;21828253;20443495;9644;0;650
173490889;218967029;22914858;21566399;10071;0;652
162860728;208533341;22912722;21665460;5310;0;654
177125217;220794967;22087529;20695696;10803;0;656
164570196;211122201;23357789;22029618;10864;0;658
170529593;215275145;22509159;21245611;4212;0;660
174062482;218732045;22543216;21166941;11902;0;662
171050526;216693720;23028200;21628726;10498;0;664
169237543;215539243;23278322;21976226;5737;0;666
174180279;220273545;23194216;21825588;9827;0;668
172477708;218089530;23009890;21597626;10132;0;670
173860883;220305833;23324891;22021833;4211;0;672
170067558;217496575;23857361;22451158;10864;0;674
179830777;226247162;23416932;21999354;9643;0;676
170310539;217444817;23661011;22393843;5005;0;678
174687358;221149153;23430238;22019771;11475;0;680
181929161;228418300;23435182;22036886;10681;0;682
172637131;220369553;23979492;22687406;4455;0;684
183050496;228654993;23052675;21605637;10681;0;686
174597026;222161846;23989989;22533178;11902;0;688
173131393;220805098;23907532;22632600;3967;0;690
173593061;222276287;24498045;23062962;10071;0;692
174099896;222885599;24531675;23081333;10315;0;694
172070482;220457932;24237609;22972761;3357;0;696
179852140;228126613;24300902;22862891;10926;0;698
187479135;235213753;24092285;22639640;10925;0;700
171269764;220311204;24624327;23291299;3845;0;702
181165063;230384969;24766538;23313789;11047;0;704
186412060;234657359;24324583;22854042;10499;0;706
174432354;223860083;24796323;23467199;3601;0;708
177848178;228237697;25343441;23855758;12451;0;710
189895449;238206361;24377074;22904607;10314;0;712
176158180;226309907;25128964;23826117;3724;0;714
179886930;229187768;24824094;23358495;10315;0;716
183477802;233689038;25298092;23803453;10254;0;718
184111223;232746780;24492064;23124871;3967;0;720
191890317;240793267;24713621;23203440;11474;0;722
187680488;237040714;24865598;23377511;12329;0;724
183523822;233598340;25114743;23785875;3785;0;726
193053767;242179800;24736936;23271169;9521;0;728
182546469;233457715;25624568;24113296;12695;0;730
185192763;236316412;25595759;24300894;2686;0;732
195072621;244652816;25033322;23513074;11780;0;734
184199296;236007514;26065363;24530447;12146;0;736
190636536;240605219;25140561;23773902;2625;0;738
192064938;242653737;25528438;23957877;12146;0;740
190318116;241869253;25967280;24433088;10987;0;742
190566834;240837884;25313168;23906380;3357;0;744
197245711;247221108;25211422;23665627;10254;0;746
199544472;250044159;25451046;23921963;11597;0;748
184380936;236313054;26032159;24662775;3296;0;750
188482550;241017816;26453851;24875601;12268;0;752
197023605;249116428;26264093;24663674;11047;0;754
192372860;245615033;26731315;25319941;1221;0;756
192306026;244517684;26304620;24726542;12207;0;758
203518216;256034867;26548089;24876989;11230;0;760
189150272;242626759;26779656;25420112;1404;0;762
195838488;248740147;26630792;25072815;12391;0;764
205204430;257037061;26157160;24574925;12146;0;766
194978017;247725867;26460747;25050108;2197;0;768
