CORE;CPU;DRAM;DURATION;UNCORE;EXIT_CODE;INPUT
524412;879942;166503;146277;611;0;2
949399;1339291;203125;171395;977;0;4
1342160;1888789;271239;242744;794;0;6
1860225;2561639;358886;320220;1343;0;8
2199762;3049919;425292;387516;244;0;10
2605828;3608328;500731;460197;245;0;12
3033196;4185902;591918;538886;1526;0;14
3530691;4855701;665892;612724;793;0;16
3931753;5422715;752134;688165;1831;0;18
4319386;5960373;828306;765924;1648;0;20
4855091;6675337;910093;843164;1770;0;22
5180590;7125348;977598;910575;1343;0;24
5656053;7771281;1065183;985959;1953;0;26
5970627;8201028;1129941;1047362;1709;0;28
6403487;8799477;1208615;1123636;2381;0;30
6788740;9338721;1285580;1194531;1954;0;32
7316204;10064550;1375424;1283085;1587;0;34
7596294;10446873;1433895;1336396;2014;0;36
8841531;12112945;1638179;1530612;2808;0;38
8549356;11732758;1596431;1490706;1465;0;40
9013954;12394500;1700984;1588533;2563;0;42
9595190;13157009;1794124;1673417;2380;0;44
9864416;13537319;1841060;1719508;2686;0;46
10223973;14030055;1908565;1782842;3052;0;48
10637424;14615869;1999140;1870943;2137;0;50
10903292;14972129;2049860;1917336;2075;0;52
11482819;15769796;2158747;2017476;2807;0;54
12144989;16652240;2267084;2127189;2685;0;56
12249298;16820209;2290888;2144254;2197;0;58
12726103;17459428;2375299;2222840;2869;0;60
13063687;17932083;2446161;2290885;2564;0;62
14258692;19549877;2654717;2491699;3174;0;64
14311914;19628245;2667717;2501248;2503;0;66
14391870;19731639;2680658;2509574;3113;0;68
14748436;20227548;2753899;2579518;3418;0;70
15238426;20912422;2847833;2670747;3174;0;72
15919210;21854985;2974419;2794752;2930;0;74
16311299;22398746;3051383;2866926;2137;0;76
16675372;22863467;3095940;2909727;2930;0;78
16873736;23147097;3146904;2950433;2808;0;80
18839613;25681697;3521170;3254377;2991;0;82
18477797;25286312;3417167;3200200;3051;0;84
18332473;25153561;3426017;3210319;2929;0;86
18634718;25533626;3458182;3250743;3296;0;88
19072705;26141901;3548331;3329293;3601;0;90
19386487;26573174;3612600;3391844;3418;0;92
19936594;27332145;3695303;3475512;2929;0;94
20344309;27911916;3792227;3566023;3418;0;96
20838082;28531482;3852956;3618567;3785;0;98
20937691;28721301;3904043;3667268;3418;0;100
21767523;29840133;4038808;3800978;3662;0;102
22136906;30338850;4111562;3857522;3785;0;104
22239323;30496748;4131032;3896775;2930;0;106
22767458;31193523;4212697;3963862;3663;0;108
23238710;31856791;4325001;4061996;3479;0;110
23677918;32442300;4394276;4131356;3540;0;112
24288085;33276343;4499683;4236959;3906;0;114
24750486;33881871;4567615;4298170;3724;0;116
25130368;34479648;4674182;4394884;3906;0;118
25382625;34794649;4706043;4432229;3601;0;120
25871393;35437654;4794910;4509451;4028;0;122
26056269;35730621;4845325;4562408;3479;0;124
26636346;36508756;4939135;4649393;4395;0;126
26899895;36871914;5005175;4706097;3906;0;128
27168632;37290676;5058398;4778787;2929;0;130
28064381;38466088;5207323;4898660;4516;0;132
28304798;38758506;5233751;4922668;3723;0;134
28928698;39641683;5365465;5043418;4395;0;136
28948657;39667501;5362352;5046478;4028;0;138
29543504;40467975;5469713;5144666;4090;0;140
29876816;40935442;5533800;5212780;4517;0;142
30288253;41516861;5627854;5294880;3784;0;144
30769575;42164259;5698594;5366047;4151;0;146
31220318;42806897;5792649;5451501;3723;0;148
31418743;43055798;5815049;5486896;3418;0;150
32534341;44589119;6034104;5681477;5493;0;152
32520424;44550179;6017075;5668429;4273;0;154
32574868;44656869;6046127;5690770;3907;0;156
33677954;46156132;6230148;5867059;5310;0;158
33406408;45807317;6216965;5851825;4700;0;160
34286472;46979250;6349532;5978922;4822;0;162
34347629;47094911;6383467;6010370;4761;0;164
35020235;47999755;6498518;6116310;5249;0;166
35202120;48280882;6530318;6171749;3723;0;168
35767486;49012325;6627302;6240138;4333;0;170
36715177;50323601;6808515;6416749;4883;0;172
36322905;49833003;6779585;6379478;4577;0;174
37030850;50751030;6857709;6459164;4028;0;176
37622340;51554678;6973676;6570697;4944;0;178
38024500;52118763;7049054;6641249;5249;0;180
