CORE;CPU;DRAM;DURATION;UNCORE;EXIT_CODE;INPUT
524168;871031;166076;145582;488;0;2
933286;1310300;195922;169319;244;0;4
1399593;1946406;275023;246245;244;0;6
1822444;2521845;355834;318939;732;0;8
2215693;3077568;436095;393489;610;0;10
2629205;3627065;514403;466620;977;0;12
4110341;5083300;492614;448434;428;0;14
4749256;5877487;575987;520343;976;0;16
5203173;6427413;633543;573014;1037;0;18
5168200;6688032;769774;702795;1954;0;20
4762316;6562117;903257;836299;671;0;22
5581102;7442242;950620;873318;1526;0;24
9851110;12092193;1133603;1053340;1282;0;26
8566323;10842135;1143247;1062211;732;0;28
6583479;9043006;1238888;1151648;1404;0;30
8483438;10728244;1146420;1059566;793;0;32
9700659;11956817;1155332;1061193;1648;0;34
8146036;10979647;1425289;1329666;1465;0;36
9502661;12333892;1434323;1326500;2686;0;38
11522920;14184900;1360898;1255588;1282;0;40
9235633;12540740;1662166;1551961;2198;0;42
11575777;14640283;1560543;1446511;1282;0;44
12239593;15502035;1654415;1531478;2502;0;46
11033724;14728783;1867243;1741215;1831;0;48
14327905;17625443;1696406;1565254;1892;0;50
11215304;15341880;2076472;1941437;2991;0;52
15376120;18935254;1813655;1677889;1221;0;54
13240750;17730240;2263788;2114423;2075;0;56
16445271;20355600;1992366;1838836;1953;0;58
13342740;17964614;2320978;2170681;2930;0;60
18771925;23094606;2198664;2042338;2258;0;62
14451196;19353466;2470636;2311666;2624;0;64
17799027;22341556;2304987;2139392;2685;0;66
16526447;21471869;2500848;2334589;2076;0;68
17409989;22551212;2592950;2421858;2685;0;70
19294140;24191344;2492242;2313604;2563;0;72
16392903;22185124;2902580;2723493;2869;0;74
16039082;21999761;2983513;2803468;2747;0;76
20928047;26194879;2680291;2493544;2991;0;78
17194963;23518251;3165153;2975566;3051;0;80
21585394;27340506;2904961;2719310;1648;0;82
18271010;24739378;3246329;3041574;2869;0;84
18390822;25165585;3402090;3197129;2868;0;86
23421327;29611375;3130790;2925957;2869;0;88
18897352;25913752;3519644;3306347;3540;0;90
22906618;29453050;3314933;3098036;2380;0;92
22816775;29668015;3454520;3239564;3113;0;94
24035156;31172649;3608878;3376436;3418;0;96
24985593;31969645;3521171;3291863;2991;0;98
27343070;34831332;3812856;3526373;2564;0;100
22666629;31043500;4229603;3947832;3479;0;102
26634941;33937413;3693533;3448134;3540;0;104
27138541;34571872;3749807;3500959;3051;0;106
23615968;32088236;4247669;3999980;2990;0;108
27496023;35416657;4002614;3745830;2990;0;110
27969594;35843170;3976125;3725896;2991;0;112
28843738;36925503;4080556;3815174;2624;0;114
29330492;37599574;4172780;3903313;2198;0;116
29836594;38303612;4253530;3989753;2747;0;118
30551863;39283347;4396839;4121841;3174;0;120
30736310;39546285;4444020;4160390;3662;0;122
31035382;39770528;4416249;4131784;3723;0;124
31959391;40915728;4523609;4233795;3479;0;126
32889869;42016739;4611011;4316364;3540;0;128
30028732;39687704;4856982;4561812;3479;0;130
27710867;37999414;5148791;4854527;3357;0;132
33116004;42801099;4884937;4578023;4028;0;134
33152015;42863782;4901843;4596639;2929;0;136
33603308;43460826;4969592;4655239;3906;0;138
34525120;44751717;5144945;4826147;3723;0;140
34872958;45086615;5148424;4827143;3479;0;142
34634128;45048225;5244860;4921626;3418;0;144
35553742;46050785;5284349;4959471;3296;0;146
35740692;46505802;5423082;5083863;4517;0;148
36803128;47467530;5382798;5042944;3418;0;150
39830282;50579582;5430955;5085351;3357;0;152
33619726;45362676;5887863;5546539;4151;0;154
38541588;49788386;5660691;5314353;3662;0;156
41094621;52123890;5571641;5220470;3723;0;158
34410373;46729738;6173385;5812502;4761;0;160
41231096;52665392;5766098;5402728;3356;0;162
41574417;53077745;5799851;5439579;3967;0;164
40343952;52441089;6077011;5710564;3662;0;166
39784017;52208972;6246321;5869669;4273;0;168
40355548;52752856;6240646;5858961;4639;0;170
41182511;53810104;6349105;5964718;4089;0;172
45168830;57132239;6048203;5669575;4151;0;174
37783472;51281607;6767683;6381639;4699;0;176
46221561;58429660;6175216;5773538;4211;0;178
42936536;55987894;6554975;6165548;4212;0;180
47195741;59753265;6333724;5935384;4333;0;182
43445079;56920386;6772627;6359325;4395;0;184
45981084;59246614;6680586;6268986;3601;0;186
41791397;55921732;7087812;6676284;4334;0;188
45969182;59979461;7030439;6624140;4212;0;190
46543155;60415617;6988080;6561068;4272;0;192
47424501;61524928;7095075;6668246;4090;0;194
46765383;61011196;7169598;6735578;3967;0;196
48959408;63063864;7101911;6663490;4639;0;198
48981686;63405417;7251812;6826022;4456;0;200
51827504;65850173;7054182;6618731;3785;0;202
51090201;65463944;7230511;6792767;4578;0;204
48756345;63547384;7421979;6993211;3235;0;206
52098072;66817700;7406659;6956111;4578;0;208
50300348;65764602;7767436;7307750;5005;0;210
50388909;66036025;7872905;7401526;4089;0;212
53652511;68781013;7610699;7139940;4943;0;214
55013043;70215579;7658733;7194059;4882;0;216
51868031;68374947;8269937;7793536;4455;0;218
55662394;71167482;7816814;7343916;4578;0;220
51233634;67610179;8213724;7733749;4639;0;222
56639747;72417051;7955851;7460265;5127;0;224
57085181;73000972;8012675;7523201;4272;0;226
57224158;73215511;8057718;7561993;4821;0;228
58188511;74526481;8215127;7723559;4577;0;230
58528293;74930839;8268167;7760449;4517;0;232
54496260;72129515;8812722;8344122;3785;0;234
59427949;76203113;8430642;7924599;5066;0;236
59569183;76382190;8463662;7935502;5493;0;238
59791595;76708361;8524270;7997896;4944;0;240
60614713;77843307;8674661;8135169;5371;0;242
60783902;78042953;8687234;8146886;5310;0;244
