CORE;CPU;DRAM;DURATION;UNCORE;EXIT_CODE;INPUT
3951040;4674244;371703;347090;732;0;2
8525125;9827367;696837;659534;1098;0;4
11317414;13518459;1155576;1109437;1098;0;6
14151697;17615433;1799983;1738783;1892;0;8
18279921;22727542;2326959;2249597;1892;0;10
20602792;25606746;2615411;2533591;2014;0;12
23573243;29255357;2983391;2894646;2258;0;14
27340750;33913793;3441276;3334824;2563;0;16
32230875;40034321;4090443;3971571;2685;0;18
28394153;35257112;3591910;3483442;2320;0;20
45482916;56375100;5714768;5561344;3235;0;22
49371761;61254848;6210250;6044881;4090;0;24
48794004;60553311;6156540;5995468;2502;0;26
54783430;67931833;6884870;6708833;3723;0;28
54547041;67706491;6872052;6715141;2930;0;30
57784825;71703979;7269390;7088562;3357;0;32
63287497;78406477;7914897;7718046;4455;0;34
72482358;90003066;9129798;8901815;5065;0;36
73781611;91551402;9257484;9024474;6469;0;38
71710998;88858720;8984535;8750528;4944;0;40
82359652;102148298;10349094;10107102;4700;0;42
84503507;104827063;10603794;10348210;5494;0;44
87420064;108290982;10960970;10683452;6042;0;46
90404188;112158648;11351900;11073043;5554;0;48
97897759;121396234;12292327;11988171;7446;0;50
102766522;127434122;12962430;12619156;4700;0;52
166525758;206689717;20840706;20371675;9461;0;54
108687588;134781576;13644679;13313619;6836;0;56
112144244;139016917;14029139;13699083;7996;0;58
113551711;140774054;14239892;13967825;2747;0;60
119660460;148339647;14990379;14633750;6836;0;62
135386799;167763425;16913775;16533764;8483;0;64
137517287;170295401;17171160;16783722;9705;0;66
323353054;400209852;40471637;39848948;2747;0;68
152123024;188424262;19044934;18593617;10620;0;70
154178866;191064574;19377636;18941217;10559;0;72
145332270;180195278;18219497;17839836;6836;0;74
146177421;181066431;18293777;17848814;10254;0;76
157435327;195213734;19791637;19341344;9216;0;78
203802762;252866968;25559017;25130405;7568;0;80
171626026;212538579;21528265;21044116;12634;0;82
208040117;257488904;26001459;25431216;13733;0;84
216820611;268953047;27249197;26831851;3845;0;86
181427758;224747959;22724307;22181215;12268;0;88
174297955;215878171;21795781;21273148;11231;0;90
187457650;232732131;23584046;23156695;5371;0;92
183514667;227475736;22989199;22453105;11413;0;94
201483249;249916475;25358455;24775778;12756;0;96
195930224;243262805;24659117;24245627;4089;0;98
201589328;249893526;25178402;24584517;11779;0;100
205041101;254217062;25706233;25094247;14709;0;102
202736724;251526883;25442745;25054646;1587;0;104
214964293;266367482;26892021;26286676;14649;0;106
209836621;259994757;26303216;25699168;12634;0;108
237068607;293963603;29722030;29045049;15747;0;110
222095684;275342924;27830373;27209603;12939;0;112
221747601;274758757;27757742;27103969;13245;0;114
235365608;291808640;29467942;28805456;12451;0;116
236726811;293427716;29619003;28924538;15075;0;118
240335933;297970856;30053146;29409770;12573;0;120
254863361;315607285;31820109;31082348;16540;0;122
249306613;309163393;31230572;30580639;12878;0;124
251227995;311427425;31429546;30705309;16784;0;126
268163681;332790163;33644873;32982487;11780;0;128
260412480;322522307;32485451;31721357;19531;0;130
266946887;330836677;33380834;32703399;12085;0;132
269659466;334299498;33819737;33034867;18982;0;134
273760713;339656174;34369419;33694675;10865;0;136
286142089;354576729;35790924;34963365;20020;0;138
269317121;334193786;33838109;33185963;10254;0;140
289699759;359037350;36288726;35443378;20691;0;142
292416305;362992601;36793301;36136959;8850;0;144
356160649;442578091;44892097;44059676;24292;0;146
290454457;360097162;36411650;35797776;6348;0;148
315246446;391261328;39818868;38899074;20874;0;150
326553790;404945496;41106584;40374801;8423;0;152
311545100;386867112;39589071;38658166;22461;0;154
315877671;391808567;39847249;39136841;7935;0;156
337166068;419263026;43048779;42062108;23621;0;158
328779798;408306267;41584122;40893635;6469;0;160
339455369;422637590;43605784;42659690;25269;0;162
359500850;446719926;45589544;44862010;6592;0;164
345479584;430566952;44720100;43691906;25329;0;166
366189737;455410944;46802798;46060645;5920;0;168
360916617;450661505;47034182;46016604;24719;0;170
392474642;489499663;50697075;49943348;5310;0;172
396081749;496079357;52325366;51203703;29479;0;174
847363249;1058095802;111127218;109113292;29114;0;176
167817075;210310985;22310856;21790530;12146;0;178
425230417;532259196;56254495;55214110;17456;0;180
376734632;472857310;50440239;49311445;27405;0;182
294050699;368046177;38756248;38172025;2625;0;184
444686972;558533482;59667755;58427407;28991;0;186
515816062;647426871;68954962;67615861;30457;0;188
350877886;441542632;47571655;46523330;24536;0;190
460152020;576391286;61043850;60147507;4944;0;192
517610186;650771772;69766912;68409595;29480;0;194
512331879;644226378;69252264;67914682;29175;0;196
479014826;602415999;64763140;63466747;29968;0;198
436221174;548672606;58896822;57712766;27771;0;200
445274311;560619842;60562100;59303164;30273;0;202
525431700;660803301;71115602;69730484;28503;0;204
516060446;649434495;69902470;68559129;28259;0;206
424183362;534569432;57856481;56644686;28320;0;208
422590776;532269146;57520177;56323149;29968;0;210
388339887;489463529;52897935;51769479;28564;0;212
399715468;503596062;54473128;53315330;30029;0;214
662446058;834652343;90368421;88706984;29175;0;216
331545050;417903838;45273078;44268224;25085;0;218
402672004;507750288;54769757;53975983;5066;0;220
370139128;467181727;51041251;49749549;30395;0;222
357516724;450511908;48613645;47910262;3052;0;224
426297310;537827664;58483981;57279234;28320;0;226
827475848;1044799754;113745192;111753481;28504;0;228
318168497;401280223;43572398;42643810;24536;0;230
304565749;383927179;41504471;40853839;6348;0;232
291671556;368055150;40058003;39171334;22460;0;234
152669775;192909479;21085883;20644552;8423;0;236
294491006;371982812;40795855;39712287;21546;0;238
274121673;345328034;37289089;36655404;8423;0;240
208381790;263223020;28762499;28110091;17273;0;242
304130996;384147821;41866714;41063445;13672;0;244
321784516;405994505;44105539;43182437;26367;0;246
273339815;344618869;37311611;36710956;7263;0;248
323851466;409501088;44912605;43932716;23804;0;250
353879404;447055923;48663206;47927416;5981;0;252
296899265;375364152;41156328;40228632;25329;0;254
372451866;470736710;51265433;50492237;8056;0;256
145390253;183888262;20222482;19724095;11292;0;258
1082387366;1409501824;164008674;161968862;20447;137;260
337309806;420316917;43374279;42406002;22949;0;262
374185748;468115196;49270321;48515773;7996;0;264
468896993;590439284;63763692;62499625;29480;0;266
1331984566;1763691713;210745005;208051118;30823;137;268
294658425;367478063;37806177;36957778;19226;0;270
222508280;276632470;28332753;27731120;10804;0;272
238640868;298840910;31603069;30868227;17884;0;274
322563749;404639406;43102367;42284144;11780;0;276
196844528;247737952;26705742;26068309;16419;0;278
241127251;303428788;32788307;32059904;16113;0;280
205970908;259283211;27989919;27341633;15625;0;282
191053283;240860590;26101862;25487280;16175;0;284
942806669;1198259383;132239774;130174164;28991;137;286
304388259;381265016;40146748;39281025;24109;0;288
1066559587;1381386356;158312400;156086404;8789;137;290
944238000;1189583197;127486551;125456911;31250;137;292
937363994;1190992861;130953095;128964117;29968;137;294
199335427;251305082;26895927;26315050;16052;0;296
290764453;365147197;38916831;38144674;15442;0;298
269526166;339200975;36601225;35781343;19959;0;300
169630303;213632937;23098818;22591403;11047;0;302
179807584;226977934;24674742;24121248;15137;0;304
235862982;297623567;32371744;31676498;15015;0;306
255502581;322170439;34989413;34208545;20019;0;308
157971581;198981485;21515570;21032785;11414;0;310
968828391;1236830086;138106335;135993018;31006;137;312
841612592;1060341829;114522351;112478558;29663;0;314
673876571;848095485;91613901;89926324;30518;0;316
914796974;1163308180;129068884;127146641;28320;137;318
1047216740;1348475125;152782995;150756079;32043;137;320
443853539;554816512;58224521;56956589;28503;0;322
910539905;1153268349;126350263;124634950;29785;137;324
1026006285;1324167753;151029826;148745309;30945;137;326
1105356362;1434292593;164191535;161772482;29724;137;328
972712598;1221015124;128879064;126848776;30091;137;330
1097794126;1430256348;165886965;163421902;29480;137;332
994603838;1267434500;139569284;137226773;30639;137;334
321886200;401575022;41854507;40798357;23682;0;336
561502713;703454193;74712272;73566947;8911;0;338
1376112261;1864744372;234196422;230644995;31006;137;340
426691595;529497363;53816513;52670714;27649;0;342
1255237326;1660102623;197786786;194975274;31616;137;344
974208321;1227469086;130692720;128542725;29480;137;346
994280231;1261942998;137702529;135526485;30701;137;348
1065352192;1377710706;157243738;154889917;30700;137;350
982108936;1243124686;134348961;132438718;29236;137;352
866810098;1090082354;116742255;114733716;28503;0;354
1105467629;1451035958;171762683;169029172;30151;137;356
1049208496;1349483728;151404153;149008042;27710;137;358
1156301483;1516024562;177419468;174782653;30091;137;360
811387022;1011629796;104932043;102988759;30944;0;362
1160462605;1538911099;186364025;183526310;29358;137;364
966402799;1217995173;130077365;127989315;27832;137;366
948231581;1201477943;130740449;128643117;30335;137;368
250370941;313361625;32977638;32172675;19165;0;370
199736000;250730986;26822258;26202527;12329;0;372
241426140;303850723;32848914;32068487;19775;0;374
225135837;283467658;30703535;30056007;11840;0;376
161293350;203314054;22087834;21547578;13062;0;378
178735138;225290195;24494750;23878420;15747;0;380
208388382;262457458;28309742;27816015;4883;0;382
216541377;273150485;29819687;29084753;16968;0;384
183688494;232205094;25464901;24871240;13427;0;386
189764284;239351194;26117853;25490609;16480;0;388
183729449;231908708;25390255;24758365;14099;0;390
211532478;266089040;28464893;28040228;2624;0;392
146505546;185574598;20528634;20018467;12146;0;394
234874826;296864169;32571572;31827287;17517;0;396
169007563;213705385;23488709;22893383;13794;0;398
209618360;264836236;29051195;28358575;16785;0;400
192370296;243212818;26757316;26105211;16907;0;402
232365738;293709880;32211588;31518117;13854;0;404
163762093;207087361;22740543;22171309;12818;0;406
168909236;213688052;23510011;22927254;14892;0;408
178639130;225826509;24703672;24250894;4578;0;410
238146302;300638878;32836219;32079582;19104;0;412
203642423;257247694;28105213;27498742;11169;0;414
222933695;281479504;30825788;30078422;19775;0;416
226405610;286142151;31366802;30704508;11779;0;418
203730192;257641918;28358814;27665016;16357;0;420
181250757;229305504;25229183;24628153;14282;0;422
206865193;261294314;28712756;27998151;15747;0;424
147097584;185881543;20389047;19867540;11231;0;426
197500410;249431613;27156852;26691075;3785;0;428
205581322;259808112;28539294;27833126;16114;0;430
192646663;243428821;26701165;26098854;12451;0;432
214149843;270459574;29660813;28942318;17273;0;434
214703491;271202553;29692245;29043981;12940;0;436
225233066;284183965;30990704;30268973;17640;0;438
199939063;252657007;27709340;27103104;12512;0;440
220500717;278702716;30661116;29905324;18188;0;442
186164197;235201363;25776118;25182861;12939;0;444
197969586;249839997;27345145;26674157;16235;0;446
152279457;192637629;21222236;20669151;12817;0;448
183253132;231692644;25241513;24785815;3845;0;450
203993191;257533154;28257618;27552004;15808;0;452
249513949;314779711;34268955;33556401;14771;0;454
190807984;241092339;26528741;25856696;16480;0;456
195923449;247446510;27169730;26512372;13306;0;458
196335618;247964697;27174491;26492324;17089;0;460
223913673;282977425;31052594;30348822;14465;0;462
183265949;231997453;25628230;24984995;15442;0;464
200229040;253315208;27971791;27231125;15503;0;466
252491785;319151588;34912997;34178392;19653;0;468
189203190;239086912;26181329;25600962;9888;0;470
212936589;269064619;29522569;28803013;17395;0;472
167534422;211668586;23266115;22677149;13549;0;474
179384001;226651397;24931760;24299898;13366;0;476
230746663;291015612;31725871;31022737;16174;0;478
189767641;239585995;26236200;25581022;14221;0;480
211512825;267340075;29323045;28624714;15015;0;482
210410167;266029288;29246080;28524432;16357;0;484
206866963;261104312;28568530;27904430;12939;0;486
201486850;254243123;27790212;27100983;14770;0;488
194016166;244797225;26734734;26081934;16967;0;490
176713964;223146096;24424742;23811264;12574;0;492
184396379;233135511;25638851;24990277;14038;0;494
179439299;226750091;24742552;24291191;2441;0;496
185618421;234370189;25685786;25047426;14282;0;498
214086488;270470743;29726791;28994655;16419;0;500
190534912;240734735;26420282;25772748;14649;0;502
141826602;179323516;19770762;19237884;13671;0;504
185527357;234440928;25669856;25170113;4456;0;506
206341024;260914799;28789782;28076790;16480;0;508
199341347;252018764;27740590;27071179;14343;0;510
198152386;250255707;27447379;26779216;14344;0;512
184424211;232835464;25523189;24881370;15137;0;514
197707745;249662080;27374198;26696646;16419;0;516
203796476;257359021;28224476;27532928;15076;0;518
220037645;278050679;30566022;29820254;17761;0;520
168362972;212804814;23418519;22823125;13306;0;522
197012557;248961399;27379752;26687802;15503;0;524
191523496;241897452;26505975;25869653;14466;0;526
201675814;254814472;28022328;27311563;16846;0;528
182952535;231091205;25345760;24708330;13855;0;530
190810181;241056451;26481317;25815022;14405;0;532
181914451;229565270;25137142;24507021;15930;0;534
155022430;195559375;21256659;20843600;2014;0;536
178405122;225462130;24796445;24163829;14465;0;538
160945022;203401152;22333256;21757051;13123;0;540
166146853;209874951;22876894;22432033;4639;0;542
166456605;210379222;23082033;22479248;14831;0;544
186003064;235136788;25824702;25188675;14587;0;546
193523614;244674179;26849601;26340832;3479;0;548
192635127;243360950;26747368;26061956;14710;0;550
215492307;272174108;29839767;29129419;16296;0;552
181364221;229185754;25204891;24563565;14526;0;554
203785856;257638440;28367847;27657172;16174;0;556
169996147;214502991;23458009;22836815;14160;0;558
192554256;243346973;26675407;25991122;15503;0;560
201384738;254515706;27870778;27355652;2990;0;562
186198253;235208199;25808101;25155833;15686;0;564
189535831;239568601;26336541;25661059;15747;0;566
192786371;243794786;26794304;26157992;14649;0;568
166166506;209998424;23051882;22434904;12634;0;570
