CORE;CPU;DRAM;DURATION;UNCORE;EXIT_CODE;INPUT
3912038;4634937;370849;350761;244;0;2
9023170;10392307;733580;694947;916;0;4
13064054;15071800;1061887;1013203;1465;0;6
15510581;18909254;1766963;1710514;977;0;8
22910403;26755242;2029841;1951775;1465;0;10
22632571;27429251;2502557;2426505;1587;0;12
30573714;35551728;2622430;2529228;1648;0;14
31582316;37406826;3071708;2969954;1892;0;16
34116429;41685623;3953908;3837414;2442;0;18
35266756;41376054;3203972;3099982;1770;0;20
46050908;57076392;5780380;5633406;2564;0;22
49240901;61046902;6167770;6009515;2502;0;24
55339336;66234511;5723008;5557661;2380;0;26
66363295;80038614;7132184;6954922;3357;0;28
55321819;68624946;6974775;6793041;3113;0;30
64057515;77165085;6853986;6698090;733;0;32
66421705;82501254;8447793;8151532;3235;0;34
69121344;85748559;8703408;8487401;3235;0;36
73866877;91697825;9295326;9075109;3113;0;38
72895016;90396436;9124122;8909690;2929;0;40
81325109;100738145;10187840;9926442;4212;0;42
82293063;102075789;10329807;10106880;2686;0;44
88567522;109754724;11096834;10827557;4090;0;46
89126969;110484642;11199679;10927005;3662;0;48
97690912;121148860;12278899;11982553;4028;0;50
102406781;126984782;12856962;12550265;4517;0;52
170718923;209744031;20264536;19920983;2198;0;54
114634350;139708139;13126309;12797478;5066;0;56
110162560;136401751;13783412;13446387;4883;0;58
116363105;144256344;14613427;14261186;4639;0;60
118956482;147584583;14956322;14642811;3662;0;62
134253745;166186098;16743548;16345788;4944;0;64
129886325;160954971;16293782;15908248;4822;0;66
331651434;410258288;41436052;40701881;5981;0;68
151137431;187258981;18981397;18542404;6103;0;70
145012446;179628385;18156448;17718063;6286;0;72
143904661;178318025;18037612;17628518;5005;0;74
145662164;180426784;18229445;17817819;6531;0;76
155811552;193035150;19529979;19083734;5920;0;78
190465577;235944892;23874329;23389727;4638;0;80
169111322;209120681;21100043;20627517;5798;0;82
205736839;254458821;25700923;25118763;7752;0;84
207493304;257143445;25910334;25490699;2136;0;86
182424521;226026216;22866945;22342267;7324;0;88
174352642;215937496;21839421;21316946;6287;0;90
187440438;232647719;23578370;23171075;3357;0;92
186093761;230730428;23320375;22777069;7263;0;94
199353677;247083107;25023191;24445295;7874;0;96
195825060;242914234;24607542;24204310;2258;0;98
201444735;249810701;25357601;24762280;7202;0;100
204562892;253531333;25648982;25055970;7202;0;102
201690096;250260651;25313472;24929006;1342;0;104
221370893;272071081;26508782;25908980;7996;0;106
215718198;264986138;25817989;25221953;7385;0;108
254702473;316031722;32033976;31367192;10559;0;110
222284160;275524624;27823110;27253498;5798;0;112
230218344;282941292;27611745;26964485;7508;0;114
233524976;289253654;29205370;28573868;7263;0;116
235311593;291672227;29541489;28856396;9094;0;118
242966053;301284446;30453901;29838024;6469;0;120
255394122;316590742;32013285;31278776;9521;0;122
251092741;311415768;31485027;30868844;6591;0;124
250839506;310835264;31438763;30712765;9521;0;126
267424059;331704778;33544897;32907626;6164;0;128
263899654;327097734;33094703;32337487;10132;0;130
272344274;337450919;33999364;33355216;5859;0;132
270307108;334900144;33831762;33071685;9155;0;134
272247777;337060661;34050084;33411330;5371;0;136
283901129;351687088;35503571;34695447;10437;0;138
269972331;334536863;33844823;33222156;5554;0;140
288781793;357737853;36134063;35321090;9460;0;142
290336720;359800287;36359221;35724196;5738;0;144
302162923;374356342;37770961;36923172;11841;0;146
297938508;369307343;37347073;36696542;4395;0;148
320585300;394951077;39003318;38104206;12817;0;150
330352548;409528798;41465409;40771403;4151;0;152
320226902;396819724;40001118;39099542;11170;0;154
319717504;396216881;40074177;39377146;4578;0;156
340345320;421490437;42510939;41567448;11353;0;158
334682432;414238198;41685318;41002047;3357;0;160
342836220;424017347;42774061;41824182;12084;0;162
367523839;455322565;45944950;45277938;4455;0;164
359121090;445042501;44992072;43990588;12878;0;166
374938188;462206885;45702581;44975966;3540;0;168
363052781;449566232;45460088;44449436;13183;0;170
400526502;496512401;50225763;49495439;3540;0;172
407753351;504956166;51084525;49944854;14771;0;174
866211528;1072642151;108777736;107242136;1465;0;176
169753349;210070507;21229377;20716114;7995;0;178
446574785;553050037;55735819;54750390;9400;0;180
392253817;485671120;48960324;47874851;14100;0;182
309759277;384657646;39083152;38504384;2685;0;184
457078664;565532793;56793434;55554187;15381;0;186
535291416;662865612;66938488;65602685;15381;0;188
371672022;458099169;45463079;44425281;13122;0;190
483408797;599444938;60663907;59775125;3174;0;192
533695472;660240986;66697766;65370196;15381;0;194
524801269;649335862;65498429;64203967;16663;0;196
503287957;620600584;61846583;60357701;14649;0;198
437707376;542079545;54804974;53634728;15625;0;200
467519616;578890059;58548251;57326966;15380;0;202
541404436;669930719;67640513;66265342;14893;0;204
526498774;651633463;65862807;64490466;15198;0;206
436305768;539845725;54421125;53215877;15076;0;208
436859355;540839192;54607648;53401145;14648;0;210
398915360;494160662;49949823;48857250;15320;0;212
407410883;505009693;51165274;50414071;1647;0;214
697589278;864339401;87415853;85755644;16357;0;216
343288550;425205698;43010449;42041761;11657;0;218
411276596;510349524;51718678;50920645;3601;0;220
380409182;470886979;47523499;46438134;13855;0;222
405988768;504816029;51512136;50865612;2868;0;224
440098422;544416820;54861554;53642906;15625;0;226
885874747;1097793088;110934347;108985072;15931;0;228
329573375;408369743;41367387;40441115;12268;0;230
320876070;397697712;40233174;39573709;4334;0;232
298544219;369791290;37461391;36602674;11170;0;234
168511653;209188124;21386603;20794799;5493;0;236
304552565;377030041;38113550;37252691;11108;0;238
325827169;404405276;40775897;40213277;5981;0;240
215593687;266986621;27004997;26360912;8545;0;242
322153350;399303055;40452655;39696782;8300;0;244
314191517;389031414;39361959;38451762;11658;0;246
281617077;348791526;35197358;34553255;4639;0;248
367395971;455476068;46276676;45337492;14587;0;250
369493256;457655933;46276859;45596519;3174;0;252
310695616;384524162;38765221;37863554;12817;0;254
385392080;477420287;48309203;47522999;4578;0;256
156214994;193784294;19690318;19204385;7325;0;258
966503751;1205657741;124456469;122551261;10742;137;260
349776143;434276170;44143991;43159438;13550;0;262
381102846;472449658;47842102;47118349;3846;0;264
486143714;602131698;60867398;59656792;15747;0;266
1023003363;1283558299;133430505;131532878;15930;137;268
304689223;377724680;38058801;37200280;12085;0;270
229162377;284408879;28885180;28308996;5798;0;272
245929547;304779127;30865339;30152823;9094;0;274
338205555;419278224;42497938;41716503;6957;0;276
202236970;250681731;25381222;24799495;7812;0;278
253144799;313603262;31750285;31038701;7690;0;280
210894296;261130862;26373590;25760264;7019;0;282
198599529;246172039;24935422;24338298;9888;0;284
1154354650;1468079006;156696803;154826714;2197;137;286
308963320;383594172;38789207;37959851;11231;0;288
975952946;1217429195;125092332;123507950;6104;137;290
982326709;1225190345;125521468;123495506;17456;137;292
1098574947;1390380473;147490589;145209046;16662;137;294
210138622;261015262;26342706;25721120;10376;0;296
306010081;379627202;38474144;37699802;8179;0;298
280339370;347143215;35103059;34324249;10803;0;300
174540325;216157101;21874334;21371838;5066;0;302
183552265;227356962;23011110;22452844;7690;0;304
247107278;306113046;30971051;30298183;8789;0;306
263883297;326669207;33016395;32245779;9644;0;308
162654429;201543002;20468819;19975833;6348;0;310
1052285515;1325919884;139825448;137710161;16480;137;312
872636133;1080268535;109214259;107203850;17456;0;314
696928575;862935596;87317037;85689148;15442;0;316
967807642;1207424949;124499254;122536607;15624;137;318
1306825390;1682833583;184737198;181885414;15259;137;320
464321565;574695489;57942174;56661291;16113;0;322
1178025060;1498943367;160713090;158324743;16968;137;324
1119261477;1415745887;149860517;147462550;16418;137;326
971710708;1213098823;125430038;123430242;15625;137;328
993638325;1240140746;127658609;125663494;17090;137;330
1004911307;1259852121;131336089;129261413;15869;137;332
1280255268;1641168161;178635285;175897790;17334;137;334
330987007;410997300;41771865;40819261;12573;0;336
606371251;751513641;75899159;74855843;5005;0;338
1031561935;1297817173;136834549;134547810;16601;137;340
430858760;533415077;53783798;52562694;14100;0;342
977158937;1221101244;126710124;124684103;15381;137;344
1136051047;1445963644;155508208;153017841;17639;137;346
979504450;1222657637;126310040;124367722;15014;137;348
981273794;1223100446;125941328;123888037;15442;137;350
995280716;1246486372;130058017;127968350;16968;137;352
891381996;1102950485;111268270;109234887;17578;0;354
950524239;1182542627;121418085;119408808;18737;137;356
973081127;1213997137;125187851;123206874;16297;137;358
995130937;1244094532;128893103;126909883;18188;137;360
815541492;1010492347;102410382;100584312;16724;0;362
1395762419;1812926755;203264494;200385852;18921;137;364
954769650;1190222356;122398124;120375901;15808;137;366
984205915;1230237512;127140299;125321858;18615;137;368
252522364;311626460;31094647;30350019;10193;0;370
210327403;260686589;26474358;25861516;8545;0;372
252575525;312472039;31587565;30843955;10315;0;374
233977428;289650137;29365403;28721444;8728;0;376
167930235;207938981;21046699;20520728;9338;0;378
189819766;235151558;23813111;23230967;8606;0;380
216366328;268228744;27214408;26723759;3662;0;382
226465484;280365615;28376575;27716908;11047;0;384
191292723;236799260;23973083;23383708;10071;0;386
197191817;244111863;24743589;24160193;9644;0;388
195798449;242399403;24582274;23989287;10132;0;390
205194726;254711140;25892085;25444492;2625;0;392
154916901;191941281;19474621;18985921;7935;0;394
249763764;309272035;31325420;30576117;14099;0;396
174269451;216120601;21960881;21583206;1587;0;398
221057479;273694185;27712270;27058199;11780;0;400
202566743;250795561;25400509;24808793;11108;0;402
250152863;309694093;31264812;30548794;13977;0;404
205974082;256124649;26081659;25622440;9765;0;406
177760653;220292222;22347721;21797755;10559;0;408
201172764;249816438;25395687;24830778;13367;0;410
238964049;295954809;30050216;29547671;3296;0;412
214919310;266343739;27017387;26363547;12085;0;414
235005318;290708729;29374681;28699515;11719;0;416
241059136;298551299;30255904;29550416;13916;0;418
237902284;295523901;30537459;29450275;9643;0;420
188770269;233600537;23636781;23016478;10681;0;422
221281783;273991242;27801015;27142273;10987;0;424
154035922;190810119;19424389;19076882;1465;0;426
209632092;259707038;26296625;25674473;10925;0;428
215608457;266848194;27047599;26404023;12207;0;430
201092686;248759922;25192196;24549096;11108;0;432
223161965;276002040;27872853;27206621;11902;0;434
236403142;292657759;29646469;28974637;13550;0;436
223322183;276276575;27935414;27310971;10437;0;438
212799199;263508419;26682793;26052979;13611;0;440
232836135;288177791;29141771;28482515;10926;0;442
197640058;244881026;24911863;24300195;10681;0;444
206728474;255858537;25875849;25232863;12391;0;446
159463886;197851300;20131602;19755362;1526;0;448
210452770;261379031;26585076;26000498;12940;0;450
215763120;267129138;27064445;26420443;11536;0;452
261304996;323707423;32790505;32045584;13611;0;454
203474210;251998257;25537410;24967709;9888;0;456
209187086;259013619;26231805;25615203;11169;0;458
203550993;251858120;25464413;24832800;13489;0;460
235575142;291502549;29535081;28846848;12634;0;462
194759084;240990350;24427001;23833056;9583;0;464
207811541;257198133;26034907;25405739;12695;0;466
237618899;294101481;29843125;29123953;12024;0;468
201201328;249315219;25248043;24633339;11414;0;470
219622240;271610449;27411429;26749095;13733;0;472
175957435;217705681;22015447;21453650;10071;0;474
189838198;235055367;23847046;23237502;10620;0;476
239583676;296853366;30141158;29591017;4882;0;478
197029220;243790331;24686521;24070540;10986;0;480
222810281;275768642;27885610;27220260;12756;0;482
225104343;279009601;28360706;27678706;11597;0;484
217738517;269677471;27333854;26683216;12574;0;486
212438543;263011900;26638238;25991511;12634;0;488
203127532;251638943;25542843;24921841;11047;0;490
187939582;232904433;23642517;23027521;11841;0;492
192869379;238872557;24214415;23598689;9949;0;494
186837047;231483417;23534242;23077274;3417;0;496
195184010;241750907;24564085;23956597;11292;0;498
231942522;287360349;29166002;28497607;12939;0;500
204115566;253028100;25829585;25101365;11413;0;502
149115890;184714127;18800794;18293508;8667;0;504
193902213;240072018;24366149;23875275;4822;0;506
219920091;272218541;27581595;26906721;11719;0;508
208975845;258762399;26264154;25617955;12512;0;510
207934648;257424878;26081232;25437200;12818;0;512
194002983;240364619;24379149;23787277;11169;0;514
202481171;250838225;25492977;25038049;1281;0;516
214926574;266160329;27023490;26368104;12634;0;518
230970234;285882508;28945178;28275913;12452;0;520
179227447;221868084;22506656;21939916;10193;0;522
215280028;266918567;27525686;26418353;12757;0;524
199622597;247529578;25171810;24675303;3235;0;526
214651062;265834708;26995414;26320102;12390;0;528
193150690;239208799;24282103;23674302;11231;0;530
199412393;246958108;25134274;24674588;1038;0;532
191771970;237411380;24097229;23490916;10620;0;534
165265751;204797999;20792122;20255470;10865;0;536
183416339;227093046;23109621;22622426;4761;0;538
169854668;210574657;21429389;20877964;8911;0;540
